id,t,u,v,w,x,y,z,ts_in,ts_out
14271,0.59,0.249,0.682,0.263,0.822,0.65,0.447,421,966
14272,0.139,0.295,0.393,0.192,0.915,0.638,0.12,405,1909
14273,0.946,0.181,0.831,0.756,0.241,0.049,0.227,752,1087
14274,0.676,0.742,0.389,0.948,0.912,0.325,0.266,695,1550
14275,0.147,0.246,0.088,0.392,0.566,0.542,0.004,522,1646
14276,0.903,0.502,0.77,0.186,0.545,0.194,0.678,407,1277
14277,0.124,0.764,0.991,0.602,0.513,0.377,0.904,509,1169
14278,0.136,0.438,0.086,0.804,0.165,0.703,0.596,122,1656
14279,0.847,0.707,0.884,0.264,0.723,0.637,0.109,933,1510
14280,0.384,0.887,0.047,0.546,0.205,0.697,0.734,122,555
14281,0.703,0.886,0.752,0.582,0.204,0.737,0.919,906,1816
14282,0.271,0.423,0.994,0.908,0.471,0.837,0.285,919,1266
14283,0.264,0.25,0.173,0.826,0.212,0.985,0.486,819,1930
14284,0.203,0.985,0.069,0.066,0.554,0.658,0.339,412,687
14285,0.744,0.623,0.383,0.083,0.152,0.449,0.541,187,761
14286,0.706,0.672,0.181,0.666,0.809,0.359,0.68,16,1251
14287,0.658,0.443,0.72,0.698,0.019,0.878,0.283,507,900
14288,0.499,0.9,0.143,0.192,0.263,0.462,0.419,790,1757
14289,0.833,0.936,0.76,0.232,0.374,0.936,0.847,839,1652
14290,0.349,0.979,0.384,0.271,0.2,0.293,0.92,166,1582
14291,0.857,0.239,0.882,0.741,0.091,0.804,0.094,915,1145
14292,0.675,0.409,0.608,0.929,0.463,0.97,0.874,512,1264
14293,0.346,0.753,0.801,0.208,0.232,0.858,0.257,869,1741
14294,0.492,0.745,0.281,0.498,0.698,0.452,0.166,93,1177
14295,0.221,0.113,0.012,0.949,0.659,0.501,0.574,177,1808
14296,0.169,0.37,0.023,0.31,0.056,0.654,0.646,160,1248
14297,0.592,0.052,0.973,0.09,0.772,0.429,0.856,308,383
14298,0.989,0.883,0.692,0.879,0.906,0.232,0.318,152,1604
14299,0.046,0.19,0.961,0.842,0.742,0.006,0.606,500,1032
14300,0.418,0.46,0.985,0.277,0.498,0.888,0.109,731,1258
14301,0.44,0.404,0.845,0.949,0.921,0.48,0.166,334,1228
14302,0.244,0.231,0.584,0.389,0.883,0.723,0.022,459,694
14303,0.458,0.569,0.566,0.933,0.055,0.057,0.36,486,1972
14304,0.557,0.342,0.887,0.718,0.848,0.115,0.449,995,1513
14305,0.304,0.693,0.302,0.206,0.297,0.595,0.243,774,1456
14306,0.137,0.605,0.922,0.986,0.959,0.13,0.543,729,1469
14307,0.038,0.834,0.338,0.62,0.294,0.214,0.002,523,1347
14308,0.811,0.011,0.363,0.191,0.643,0.589,0.798,362,1735
14309,0.335,0.709,0.953,0.821,0.488,0.787,0.837,174,1520
14310,0.679,0.681,0.298,0.056,0.459,0.736,0.483,187,510
14311,0.696,0.018,0.986,0.916,0.429,0.414,0.006,354,1857
14312,0.374,0.923,0.367,0.368,0.16,0.051,0.13,76,1228
14313,0.705,0.423,0.896,0.078,0.154,0.723,0.807,683,1728
14314,0.368,0.912,0.811,0.529,0.785,0.631,0.252,356,1974
14315,0.832,0.995,0.77,0.758,0.377,0.702,0.689,317,793
14316,0.892,0.969,0.216,0.196,0.581,0.135,0.297,296,1262
14317,0.424,0.186,0.796,0.951,0.979,0.715,0.092,239,850
14318,0.902,0.477,0.746,0.453,0.48,0.734,0.766,968,1903
14319,0.75,0.288,0.643,0.954,0.662,0.244,0.075,757,1219
14320,0.952,0.164,0.7,0.668,0.109,0.609,0.19,491,1792
14321,0.374,0.62,0.228,0.05,0.817,0.833,0.088,336,1046
14322,0.783,0.262,0.81,0.455,0.9,0.911,0.162,457,1569
14323,0.712,0.262,0.567,0.246,0.19,0.076,0.045,600,1822
14324,0.14,0.835,0.872,0.214,0.016,0.292,0.488,273,809
14325,0.425,0.737,0.271,0.901,0.85,0.522,0.118,71,284
14326,0.013,0.627,0.77,0.192,0.138,0.102,0.058,179,1252
14327,0.706,0.923,0.643,0.932,0.661,0.811,0.543,924,1470
14328,0.634,0.254,0.521,0.658,0.466,0.323,0.464,300,1987
14329,0.601,0.933,0.85,0.535,0.02,0.443,0.84,702,1872
14330,0.327,0.11,0.826,0.918,0.91,0.787,0.78,794,1848
14331,0.358,0.548,0.183,0.81,0.451,0.621,0.117,555,1818
14332,0.665,0.604,0.296,0.327,0.63,0.189,0.932,741,1220
14333,0.905,0.75,0.564,0.866,0.204,0.074,0.74,682,1745
14334,0.143,0.103,0.251,0.312,0.412,0.849,0.217,178,514
14335,0.103,0.498,0.215,0.305,0.311,0.811,0.601,314,1069
14336,0.856,0.849,0.869,0.96,0.857,0.977,0.424,108,465
14337,0.756,0.417,0.675,0.667,0.362,0.035,0.189,826,1682
14338,0.331,0.348,0.508,0.975,0.956,0.012,0.556,656,948
14339,0.867,0.409,0.168,0.263,0.687,0.427,0.487,964,997
14340,0.326,0.776,0.379,0.571,0.843,0.272,0.459,237,1613
14341,0.204,0.511,0.544,0.833,0.537,0.034,0.227,73,1427
14342,0.262,0.001,0.788,0.456,0.755,0.05,0.532,594,1530
14343,0.668,0.689,0.5,0.735,0.152,0.609,0.168,910,1474
14344,0.929,0.985,0.762,0.048,0.674,0.045,0.54,937,1756
14345,0.008,0.631,0.606,0.19,0.587,0.906,0.262,430,854
14346,0.425,0.277,0.099,0.836,0.712,0.728,0.08,40,928
14347,0.692,0.263,0.462,0.257,0.06,0.123,0.774,686,850
14348,0.347,0.924,0.414,0.04,0.795,0.618,0.817,359,604
14349,0.225,0.145,0.828,0.402,0.798,0.278,0.074,580,1263
14350,0.603,0.251,0.678,0.496,0.658,0.312,0.274,16,1520
14351,0.016,0.069,0.693,0.866,0.23,0.943,0.794,969,1582
14352,0.911,0.667,0.893,0.9,0.83,0.698,0.316,945,1347
14353,0.991,0.885,0.477,0.731,0.535,0.578,0.133,64,453
14354,0.245,0.136,0.168,0.954,0.933,0.63,0.905,139,1746
14355,0.94,0.92,0.007,0.423,0.004,0.107,0.083,935,1802
14356,0.219,0.411,0.773,0.593,0.401,0.383,0.916,971,1648
14357,0.747,0.544,0.051,0.952,0.794,0.927,0.904,480,1567
14358,0.178,0.253,0.123,0.362,0.324,0.766,0.884,196,555
14359,0.822,0.012,0.02,0.905,0.239,0.831,0.67,341,1350
14360,0.879,0.984,0.171,0.247,0.423,0.886,0.004,992,1929
14361,0.915,0.206,0.058,0.482,0.885,0.738,0.668,748,1395
14362,0.004,0.738,0.383,0.968,0.561,0.888,0.357,313,1760
14363,0.914,0.616,0.448,0.99,0.073,0.958,0.444,125,1020
14364,0.474,0.342,0.935,0.078,0.055,0.101,0.737,961,1815
14365,0.867,0.22,0.468,0.822,0.014,0.238,0.189,753,983
14366,0.035,0.641,0.758,0.41,0.134,0.506,0.502,114,311
14367,0.397,0.844,0.444,0.822,0.331,0.106,0.27,477,1346
14368,0.313,0.102,0.682,0.276,0.908,0.966,0.586,846,1644
14369,0.606,0.016,0.07,0.409,0.512,0.762,0.508,564,974
14370,0.925,0.357,0.04,0.249,0.373,0.854,0.587,876,1906
14371,0.242,0.805,0.32,0.608,0.614,0.692,0.249,617,1694
14372,0.139,0.341,0.155,0.942,0.061,0.55,0.878,209,1913
14373,0.818,0.901,0.199,0.564,0.057,0.103,0.526,379,917
14374,0.432,0.83,0.094,0.972,0.782,0.313,0.831,608,658
14375,0.233,0.9,0.506,0.044,0.987,0.381,0.403,51,1865
14376,0.98,0.382,0.435,0.904,0.525,0.351,0.989,742,1462
14377,0.172,0.32,0.244,0.446,0.825,0.399,0.259,736,1148
14378,0.337,0.972,0.957,0.753,0.389,0.127,0.995,951,1044
14379,0.534,0.949,0.35,0.506,0.915,0.291,0.017,263,863
14380,0.452,0.059,0.721,0.445,0.656,0.792,0.178,666,1374
14381,0.517,0.48,0.179,0.053,0.72,0.157,0.721,646,1966
14382,0.306,0.474,0.216,0.316,0.372,0.558,0.101,966,1775
14383,0.251,0.994,0.96,0.15,0.403,0.664,0.752,152,1837
14384,0.88,0.852,0.237,0.491,0.866,0.211,0.448,793,1310
14385,0.166,0.816,0.456,0.469,0.294,0.315,0.59,995,1730
14386,0.986,0.549,0.205,0.339,0.402,0.711,0.519,412,1670
14387,0.572,0.907,0.402,0.68,0.677,0.832,0.972,473,672
14388,0.683,0.776,0.696,0.579,0.018,0.09,0.216,929,1542
14389,0.497,0.954,0.307,0.357,0.094,0.642,0.054,301,404
14390,0.149,0.376,0.291,0.256,0.303,0.511,0.393,299,822
14391,0.538,0.65,0.358,0.166,0.569,0.502,0.806,680,1657
14392,0.016,0.731,0.972,0.854,0.033,0.426,0.075,489,1437
14393,0.39,0.232,0.295,0.62,0.61,0.348,0.829,939,1811
14394,0.65,0.309,0.141,0.713,0.169,0.225,0.554,745,983
14395,0.152,0.231,0.778,0.389,0.373,0.384,0.643,621,1044
14396,0.795,0.628,0.295,0.715,0.941,0.406,0.547,645,1459
14397,0.369,0.733,0.705,0.195,0.369,0.332,0.707,295,505
14398,0.654,0.268,0.998,0.673,0.11,0.833,0.774,953,1328
14399,0.556,0.748,0.426,0.079,0.766,0.848,0.721,624,1131
14400,0.747,0.936,0.937,0.468,0.513,0.523,0.975,963,1342
14401,0.44,0.495,0.103,0.807,0.794,0.85,0.161,958,1607
14402,0.906,0.365,0.622,0.76,0.592,0.804,0.475,560,692
14403,0.415,0.75,0.095,0.195,0.004,0.843,0.434,902,1251
14404,0.485,0.541,0.114,0.88,0.529,0.265,0.631,617,753
14405,0.468,0.828,0.875,0.051,0.207,0.139,0.946,600,827
14406,0.085,0.278,0.364,0.207,0.578,0.304,0.362,605,1591
14407,0.622,0.55,0.949,0.397,0.459,0.473,0.565,18,1630
14408,0.779,0.04,0.899,0.357,0.503,0.093,0.739,323,442
14409,0.562,0.878,0.2,0.832,0.205,0.511,0.86,635,682
14410,0.431,0.861,0.94,0.427,0.876,0.101,0.583,812,1903
14411,0.768,0.501,0.553,0.097,0.296,0.956,0.484,857,1849
14412,0.111,0.753,0.853,0.861,0.81,0.039,0.798,836,941
14413,0.862,0.176,0.316,0.785,0.53,0.994,0.362,264,829
14414,0.702,0.905,0.104,0.494,0.262,0.895,0.813,636,1031
14415,0.311,0.167,0.88,0.914,0.106,0.132,0.183,311,990
14416,0.898,0.975,0.683,0.533,0.504,0.301,0.901,96,1309
14417,0.882,0.754,0.362,0.709,0.388,0.299,0.445,126,295
14418,0.91,0.132,0.375,0.981,0.684,0.288,0.175,100,1787
14419,0.057,0.341,0.103,0.029,0.231,0.19,0.3,154,1415
14420,0.506,0.74,0.314,0.245,0.467,0.634,0.426,153,653
14421,0.4,0.653,0.526,0.428,0.456,0.811,0.134,2,1271
14422,0.711,0.7,0.365,0.864,0.203,0.241,0.683,308,1212
14423,0.643,0.947,0.164,0.547,0.526,0.108,0.799,658,1065
14424,0.141,0.265,0.197,0.325,0.041,0.433,0.517,99,1769
14425,0.988,0.916,0.939,0.476,0.936,0.496,0.597,736,801
14426,0.486,0.053,0.925,0.485,0.198,0.904,0.799,688,1120
14427,0.612,0.626,0.304,0.475,0.529,0.169,0.593,512,1120
14428,0.698,0.867,0.084,0.434,0.371,0.49,0.886,32,633
14429,0.834,0.642,0.088,0.896,0.371,0.813,0.522,406,900
14430,0.101,0.565,0.461,0.886,0.29,0.679,0.069,960,1698
14431,0.258,0.524,0.543,0.802,0.254,0.135,0.975,210,274
14432,0.41,0.188,0.929,0.493,0.282,0.289,0.003,367,1111
14433,0.795,0.888,0.639,0.751,0.036,0.378,0.425,630,1116
14434,0.981,0.675,0.932,0.61,0.952,0.88,0.427,919,1492
14435,0.309,0.434,0.986,0.33,0.797,0.237,0.06,23,1771
14436,0.71,0.482,0.7,0.319,0.195,0.232,0.118,764,1202
14437,0.384,0.224,0.091,0.58,0.058,0.603,0.683,738,1915
14438,0.143,0.785,0.506,0.49,0.273,0.161,0.719,759,1829
14439,0.073,0.286,0.655,0.48,0.433,0.562,0.034,693,821
14440,0.227,0.748,0.057,0.806,0.765,0.315,0.383,240,862
14441,0.67,0.151,0.637,0.801,0.504,0.511,0.393,670,898
14442,0.038,0.804,0.484,0.581,0.438,0.653,0.832,279,693
14443,0.064,0.691,0.744,0.311,0.194,0.199,0.813,246,1602
14444,0.632,0.494,0.865,0.605,0.688,0.59,0.079,353,1058
14445,0.535,0.429,0.336,0.266,0.927,0.936,0.956,32,756
14446,0.049,0.844,0.232,0.964,0.152,0.488,0.203,315,1672
14447,0.075,0.479,0.558,0.211,0.863,0.287,0.301,145,1900
14448,0.709,0.315,0.924,0.832,0.645,0.743,0.652,98,1608
14449,0.332,0.702,0.138,0.258,0.204,0.598,0.23,467,1248
14450,0.754,0.753,0.165,0.952,0.598,0.859,0.825,433,1594
14451,0.549,0.857,0.222,0.472,0.51,0.756,0.138,732,1497
14452,0.231,0.577,0.123,0.921,0.503,0.69,0.747,602,1456
14453,0.03,0.622,0.216,0.306,0.912,0.644,0.767,841,1307
14454,0.113,0.963,0.168,0.804,0.92,0.966,0.337,722,1480
14455,0.734,0.305,0.673,0.756,0.563,0.991,0.935,982,1607
14456,0.211,0.792,0.706,0.062,0.486,0.624,0.4,514,878
14457,0.96,0.79,0.615,0.676,0.062,0.128,0.076,222,1480
14458,0.687,0.062,0.989,0.758,0.978,0.308,0.08,540,1990
14459,0.527,0.604,0.083,0.642,0.347,0.594,0.958,174,1865
14460,0.97,0.997,0.491,0.42,0.729,0.892,0.936,784,1045
14461,0.048,0.796,0.972,0.986,0.016,0.052,0.405,115,1651
14462,0.472,0.42,0.774,0.055,0.382,0.689,0.02,540,1461
14463,0.192,0.617,0.684,0.571,0.035,0.74,0.966,919,1590
14464,0.228,0.14,0.977,0.602,0.096,0.612,0.745,790,1866
14465,0.5,0.48,0.075,0.678,0.267,0.443,0.341,927,1839
14466,0.202,0.082,0.947,0.315,0.338,0.436,0.114,78,510
14467,0.997,0.431,0.703,0.492,0.876,0.197,0.899,361,1113
14468,0.589,0.956,0.203,0.545,0.159,0.49,0.134,645,1297
14469,0.592,0.829,0.809,0.624,0.346,0.118,0.892,701,1428
14470,0.83,0.499,0.799,0.039,0.421,0.812,0.714,624,917
14471,0.465,0.936,0.305,0.092,0.118,0.241,0.04,678,782
14472,0.918,0.879,0.951,0.028,0.701,0.734,0.552,779,883
14473,0.443,0.084,0.067,0.432,0.353,0.968,0.041,694,1226
14474,0.587,0.624,0.993,0.808,0.145,0.294,0.577,818,1076
14475,0.996,0.763,0.164,0.378,0.394,0.048,0.08,708,1079
14476,0.941,0.376,0.525,0.372,0.428,0.012,0.496,88,1810
14477,0.573,0.309,0.255,0.096,0.058,0.629,0.842,925,1004
14478,0.686,0.84,0.226,0.304,0.575,0.189,0.777,7,1290
14479,0.773,0.804,0.744,0.457,0.986,0.506,0.586,647,1636
14480,0.135,0.568,0.146,0.483,0.102,0.492,0.326,179,750
14481,0.197,0.959,0.299,0.434,0.241,0.687,0.337,873,1178
14482,0.935,0.346,0.522,0.164,0.135,0.647,0.33,288,1896
14483,0.844,0.323,0.604,0.575,0.836,0.955,0.411,19,1475
14484,0.723,0.443,0.897,0.942,0.241,0.919,0.235,436,1269
14485,0.626,0.264,0.413,0.208,0.489,0.727,0.212,945,1478
14486,0.647,0.339,0.921,0.359,0.643,0.821,0.65,386,484
14487,0.839,0.668,0.175,0.6,0.368,0.311,0.26,39,1769
14488,0.392,0.113,0.651,0.211,0.098,0.748,0.769,767,781
14489,0.553,0.425,0.989,0.58,0.332,0.106,0.771,366,1960
14490,0.047,0.679,0.718,0.033,0.54,0.083,0.059,809,1916
14491,0.892,0.212,0.023,0.387,0.585,0.472,0.689,150,1807
14492,0.372,0.12,0.93,0.624,0.272,0.317,0.544,488,1582
14493,0.177,0.324,0.702,0.929,0.0,0.262,0.899,634,1493
14494,0.888,0.001,0.19,0.832,0.518,0.108,0.5,530,890
14495,0.129,0.118,0.458,0.934,0.669,0.303,0.595,387,1663
14496,0.927,0.618,0.347,0.839,0.963,0.444,0.273,42,1702
14497,0.7,0.915,0.412,0.837,0.003,0.211,0.765,488,601
14498,0.1,0.172,0.175,0.367,0.883,0.695,0.899,414,457
14499,0.111,0.816,0.15,0.49,0.005,0.313,0.808,181,1800
14500,0.128,0.807,0.415,0.136,0.797,0.565,0.828,285,1730
14501,0.13,0.033,0.764,0.756,0.411,0.876,0.792,962,1835
14502,0.669,0.131,0.846,0.284,0.711,0.623,0.344,976,1732
14503,0.378,0.959,0.384,0.844,0.03,0.71,0.797,404,1554
14504,0.317,0.97,0.202,0.928,0.133,0.42,0.382,247,837
14505,0.382,0.217,0.594,0.945,0.656,0.851,0.764,414,1160
14506,0.689,0.718,0.937,0.51,0.54,0.943,0.022,146,780
14507,0.587,0.883,0.421,0.603,0.457,0.683,0.441,881,1346
14508,0.82,0.787,0.473,0.549,0.301,0.916,0.131,590,1577
14509,0.548,0.222,0.783,0.121,0.585,0.231,0.116,464,1028
14510,0.379,0.626,0.223,0.156,0.572,0.777,0.99,258,1061
14511,0.703,0.768,0.725,0.827,0.706,0.563,0.892,782,1224
14512,0.578,0.924,0.931,0.65,0.199,0.528,0.864,252,1573
14513,0.801,0.484,0.778,0.54,0.718,0.155,0.341,352,1574
14514,0.913,0.627,0.758,0.495,0.817,0.374,0.95,244,286
14515,0.25,0.849,0.508,0.901,0.359,0.503,0.53,401,1923
14516,0.302,0.742,0.922,0.893,0.111,0.681,0.765,500,702
14517,0.439,0.803,0.509,0.69,0.296,0.098,0.242,187,1383
14518,0.179,0.41,0.583,0.312,0.976,0.189,0.908,181,414
14519,0.954,0.082,0.628,0.964,0.875,0.432,0.492,710,1927
14520,0.065,0.306,0.869,0.644,0.026,0.364,0.126,566,1944
14521,0.018,0.317,0.959,0.96,0.448,0.103,0.493,74,1908
14522,0.911,0.651,0.58,0.881,0.861,0.682,0.54,929,1911
14523,0.777,0.014,0.145,0.007,0.212,0.852,0.852,848,1677
14524,0.083,0.3,0.913,0.112,0.23,0.967,0.033,224,942
14525,0.25,0.711,0.997,0.774,0.043,0.994,0.097,467,1336
14526,0.213,0.513,0.317,0.391,0.547,0.994,0.67,459,1597
14527,0.396,0.969,0.131,0.924,0.547,0.303,0.913,669,1094
14528,0.111,0.65,0.019,0.416,0.479,0.662,0.034,591,1196
14529,0.636,0.75,0.67,0.318,0.856,0.315,0.321,185,612
14530,0.837,0.545,0.068,0.45,0.65,0.774,0.391,445,1822
14531,0.75,0.706,0.563,0.122,0.052,0.103,0.449,489,814
14532,0.37,0.926,0.757,0.808,0.834,0.786,0.61,17,1453
14533,0.518,0.972,0.535,0.24,0.995,0.759,0.392,731,1869
14534,0.056,0.618,0.613,0.337,0.103,0.803,0.451,852,1893
14535,0.005,0.093,0.993,0.742,0.848,0.816,0.701,677,1256
14536,0.482,0.952,0.147,0.686,0.727,0.628,0.577,520,1569
14537,0.119,0.673,0.373,0.172,0.337,0.14,0.92,830,1847
14538,0.362,0.615,0.139,0.344,0.818,0.547,0.663,381,1187
14539,0.524,0.875,0.152,0.685,0.399,0.155,0.291,268,1275
14540,0.138,0.458,0.151,0.084,0.573,0.721,0.467,940,1789
14541,0.783,0.108,0.093,0.789,0.56,0.379,0.101,547,1647
14542,0.402,0.333,0.574,0.863,0.006,0.662,0.525,571,1322
14543,0.39,0.643,0.114,0.094,0.691,0.318,0.316,931,1789
14544,0.656,0.809,0.141,0.911,0.333,0.272,0.447,763,1509
14545,0.783,0.027,0.06,0.693,0.606,0.169,0.983,451,812
14546,0.285,0.601,0.021,0.207,0.711,0.021,0.838,841,1030
14547,0.373,0.211,0.179,0.628,0.712,0.134,0.548,381,488
14548,0.826,0.31,0.395,0.082,0.151,0.93,0.407,977,1942
14549,0.909,0.467,0.519,0.513,0.966,0.991,0.285,727,1897
14550,0.177,0.714,0.321,0.926,0.467,0.967,0.053,357,1869
14551,0.471,0.098,0.385,0.925,0.877,0.029,0.773,416,1612
14552,0.016,0.774,0.727,0.988,0.494,0.486,0.137,919,1009
14553,0.428,0.189,0.537,0.391,0.6,0.324,0.057,353,746
14554,0.837,0.482,0.634,0.267,0.326,0.374,0.882,27,242
14555,0.765,0.164,0.346,0.562,0.724,0.677,0.765,407,764
14556,0.827,0.977,0.094,0.367,0.97,0.494,0.687,614,1183
14557,0.176,0.366,0.299,0.933,0.441,0.075,0.928,772,1023
14558,0.054,0.705,0.259,0.185,0.206,0.146,0.851,586,1117
14559,0.949,0.377,0.045,0.995,0.113,0.414,0.219,960,1191
14560,0.716,0.297,0.339,0.751,0.488,0.2,0.678,682,1259
14561,0.325,0.674,0.17,0.527,0.424,0.611,0.938,782,1938
14562,0.694,0.578,0.85,0.299,0.117,0.364,0.112,343,1296
14563,0.481,0.419,0.437,0.821,0.751,0.031,0.722,481,864
14564,0.951,0.503,0.055,0.002,0.397,0.658,0.47,61,1168
14565,0.894,0.41,0.879,0.565,0.944,0.174,0.794,900,1280
14566,0.246,0.994,0.552,0.06,0.844,0.966,0.55,755,1691
14567,0.429,0.32,0.335,0.794,0.662,0.385,0.637,975,1438
14568,0.312,0.231,0.802,0.729,0.923,0.878,0.442,688,699
14569,0.17,0.949,0.806,0.22,0.394,0.704,0.834,770,1535
14570,0.447,0.948,0.893,0.082,0.329,0.534,0.021,963,1403
14571,0.001,0.627,0.374,0.291,0.836,0.391,0.194,637,706
14572,0.165,0.422,0.731,0.586,0.059,0.703,0.535,64,528
14573,0.162,0.213,0.389,0.91,0.877,0.396,0.363,440,847
14574,0.433,0.938,0.663,0.193,0.762,0.741,0.432,503,1925
14575,0.979,0.225,0.242,0.397,0.99,0.792,0.613,299,814
14576,0.671,0.968,0.3,0.801,0.98,0.192,0.908,910,1438
14577,0.689,0.59,0.844,0.675,0.799,0.357,0.671,533,693
14578,0.699,0.932,0.955,0.066,0.687,0.777,0.792,153,1090
14579,0.867,0.927,0.562,0.103,0.829,0.082,0.529,303,927
14580,0.747,0.669,0.585,0.986,0.006,0.546,0.287,501,791
14581,0.544,0.543,0.236,0.905,0.837,0.55,0.362,560,879
14582,0.271,0.51,0.764,0.955,0.362,0.338,0.174,114,1367
14583,0.781,0.035,0.233,0.006,0.489,0.771,0.912,372,1487
14584,0.101,0.739,0.957,0.223,0.137,0.201,0.05,212,1111
14585,0.71,0.113,0.056,0.75,0.676,0.124,0.639,621,1818
14586,0.675,0.177,0.256,0.809,0.144,0.048,0.384,853,1130
14587,0.259,0.557,0.196,0.973,0.901,0.011,0.803,358,1552
14588,0.62,0.979,0.368,0.125,0.856,0.404,0.163,391,1014
14589,0.83,0.477,0.235,0.054,0.147,0.271,0.955,565,1162
14590,0.412,0.926,0.25,0.986,0.286,0.628,0.018,461,1142
14591,0.872,0.165,0.682,0.254,0.731,0.282,0.069,889,1306
14592,0.808,0.674,0.384,0.603,0.908,0.945,0.361,340,1707
14593,0.8,0.26,0.219,0.007,0.284,0.282,0.777,754,1538
14594,0.089,0.187,0.835,0.389,0.344,0.223,0.224,542,1416
14595,0.111,0.175,0.418,0.142,0.484,0.237,0.792,628,1428
14596,0.09,0.682,0.933,0.928,0.47,0.516,0.991,663,854
14597,0.681,0.377,0.959,0.143,0.401,0.143,0.227,910,1862
14598,0.145,0.904,0.946,0.882,0.211,0.628,0.645,681,1447
14599,0.484,0.334,0.209,0.636,0.303,0.392,0.756,930,1534
14600,0.879,0.906,0.233,0.467,0.026,0.468,0.85,193,1471
14601,0.803,0.321,0.877,0.587,0.142,0.076,0.779,902,1510
14602,0.706,0.817,0.011,0.083,0.206,0.954,0.51,2,1443
14603,0.928,0.651,0.134,0.221,0.551,0.687,0.333,312,612
14604,0.614,0.19,0.85,0.965,0.753,0.818,0.38,848,976
14605,0.653,0.376,0.541,0.184,0.95,0.05,0.915,252,613
14606,0.111,0.312,0.163,0.37,0.641,0.477,0.892,779,1880
14607,0.756,0.397,0.938,0.952,0.812,0.631,0.95,391,1514
14608,0.081,0.134,0.422,0.436,0.52,0.395,0.587,141,599
14609,0.977,0.025,0.842,0.312,0.195,0.02,0.913,18,1665
14610,0.475,0.934,0.738,0.605,0.883,0.674,0.701,742,1340
14611,0.78,0.853,0.83,0.905,0.718,0.308,0.716,195,249
14612,0.145,0.602,0.183,0.508,0.834,0.102,0.875,396,1633
14613,0.78,0.941,0.857,0.068,0.92,0.284,0.348,827,1187
14614,0.572,0.528,0.719,0.241,0.028,0.796,0.466,256,605
14615,0.158,0.74,0.493,0.135,0.185,0.558,0.301,859,1276
14616,0.055,0.663,0.788,0.655,0.939,0.846,0.455,413,1672
14617,0.655,0.723,0.664,0.552,0.009,0.967,0.723,338,1540
14618,0.918,0.754,0.122,0.462,0.864,0.09,0.387,386,868
14619,0.037,0.594,0.394,0.205,0.496,0.151,0.684,387,1525
14620,0.556,0.056,0.255,0.58,0.762,0.6,0.759,226,686
14621,0.16,0.471,0.506,0.519,0.4,0.488,0.061,984,1329
14622,0.767,0.025,0.208,0.778,0.018,0.797,0.686,315,1674
14623,0.24,0.139,0.318,0.951,0.673,0.783,0.1,877,1071
14624,0.591,0.986,0.258,0.401,0.169,0.393,0.5,817,1576
14625,0.636,0.384,0.641,0.938,0.729,0.007,0.075,699,814
14626,0.813,0.773,0.472,0.174,0.554,0.25,0.373,95,222
14627,0.209,0.23,0.079,0.302,0.388,0.889,0.562,689,1645
14628,0.522,0.601,0.057,0.473,0.263,0.869,0.186,124,1443
14629,0.038,0.387,0.353,0.739,0.33,0.09,0.272,274,1847
14630,0.499,0.955,0.182,0.582,0.512,0.102,0.378,572,1566
14631,0.605,0.325,0.534,0.737,0.89,0.255,0.428,412,534
14632,0.182,0.762,0.085,0.598,0.818,0.839,0.5,324,955
14633,0.315,0.85,0.544,0.444,0.591,0.821,0.03,435,705
14634,0.904,0.022,0.377,0.582,0.584,0.887,0.581,97,1504
14635,0.559,0.793,0.412,0.977,0.116,0.132,0.97,805,1661
14636,0.66,0.635,0.408,0.168,0.425,0.617,0.039,38,981
14637,0.733,0.54,0.035,0.155,0.777,0.9,0.449,608,804
14638,0.884,0.472,0.591,0.693,0.956,0.778,0.173,743,1814
14639,0.38,0.774,0.619,0.881,0.562,0.321,0.199,396,1838
14640,0.978,0.938,0.451,0.945,0.105,0.862,0.724,461,496
14641,0.075,0.835,0.39,0.547,0.228,0.962,0.845,175,675
14642,0.082,0.389,0.22,0.772,0.53,0.957,0.354,942,1711
14643,0.715,0.474,0.445,0.706,0.431,0.719,0.948,137,1930
14644,0.928,0.221,0.572,0.171,0.092,0.999,0.127,696,822
14645,0.112,0.309,0.593,0.416,0.382,0.132,0.962,692,1049
14646,0.589,0.81,0.763,0.121,0.756,0.229,0.302,728,1980
14647,0.453,0.479,0.341,0.7,0.298,0.165,0.212,154,1702
14648,0.602,0.673,0.328,0.783,0.933,0.806,0.395,54,1132
14649,0.565,0.547,0.713,0.615,0.104,0.696,0.41,485,1749
14650,0.103,0.593,0.832,0.342,0.751,0.647,0.127,611,1874
14651,0.145,0.692,0.665,0.158,0.24,0.223,0.034,637,1335
14652,0.623,0.515,0.608,0.708,0.149,0.953,0.936,16,284
14653,0.263,0.863,0.08,0.177,0.93,0.464,0.257,97,1618
14654,0.758,0.274,0.897,0.719,0.982,0.601,0.708,346,1053
14655,0.92,0.245,0.43,0.794,0.708,0.854,0.54,156,834
14656,0.059,0.256,0.208,0.225,0.321,0.565,0.488,131,1711
14657,0.709,0.634,0.028,0.94,0.92,0.827,0.191,180,1223
14658,0.582,0.754,0.725,0.241,0.175,0.074,0.203,804,949
14659,0.291,0.763,0.163,0.742,0.697,0.587,0.748,94,1836
14660,0.997,0.739,0.871,0.068,0.338,0.379,0.298,255,1699
14661,0.831,0.038,0.211,0.294,0.268,0.092,0.526,916,1720
