id,t,u,v,time_in,time_out
8263,0.765,0.319,0.409,701,1781
8264,0.745,0.9,0.212,856,1336
8265,0.863,0.964,0.091,162,332
8266,0.875,0.853,0.136,220,1821
8267,0.881,0.475,0.091,235,1568
8268,0.882,0.517,0.091,175,1341
8269,0.672,0.522,0.197,1000,1202
8270,0.67,0.422,0.197,453,564
8271,0.757,0.383,0.333,437,1107
8272,0.754,0.358,0.348,555,1805
8273,0.732,0.264,0.561,532,1237
8274,0.753,0.842,0.167,352,511
8275,0.785,0.031,0.197,920,1389
8276,0.801,0.669,0.182,562,701
8277,0.834,0.467,0.121,750,974
8278,0.888,0.636,0.076,338,1904
8279,0.892,0.631,0.121,395,1039
8280,0.855,0.186,0.515,15,1863
8281,0.841,0.531,0.273,359,443
8282,0.84,0.275,0.182,356,852
8283,0.759,0.483,0.136,973,1296
8284,0.678,0.428,0.288,573,798
8285,0.667,0.542,0.288,611,1720
8286,0.8,0.2,0.121,939,1954
8287,0.793,0.422,0.364,834,1115
8288,0.777,0.261,0.318,814,1367
8289,0.759,0.333,0.455,397,840
8290,0.845,0.739,0.061,769,993
8291,0.881,0.461,0.091,27,445
8292,0.888,0.597,0.121,271,1207
8293,0.872,0.156,0.53,693,1560
8294,0.834,0.308,0.288,239,2000
8295,0.757,0.475,0.152,247,1543
8296,0.725,0.431,0.227,499,1294
8297,0.71,0.417,0.121,542,1011
8298,0.709,0.364,0.136,915,1771
8299,0.697,0.408,0.227,533,1618
8300,0.821,0.083,0.167,260,997
8301,0.764,0.411,0.318,257,1847
8302,0.751,0.431,0.439,122,338
8303,0.734,0.297,0.5,308,1303
8304,0.864,0.825,0.045,337,407
8305,0.862,0.05,0.136,41,690
8306,0.862,0.042,0.152,923,1002
8307,0.884,0.564,0.197,829,1316
8308,0.76,0.522,0.152,660,1233
8309,0.723,0.392,0.242,406,1408
8310,0.721,0.422,0.303,966,1200
8311,0.716,0.436,0.333,567,1159
8312,0.704,0.458,0.288,376,808
8313,0.694,0.478,0.106,907,1613
8314,0.665,0.464,0.303,913,1541
8315,0.659,0.378,0.288,651,1848
8316,0.655,0.439,0.258,487,1368
8317,0.814,0.108,0.242,337,1000
8318,0.786,0.403,0.227,245,429
8319,0.771,0.458,0.197,812,1818
8320,0.77,0.308,0.379,359,422
8321,0.738,0.3,0.424,1,1169
8322,0.728,0.269,0.515,17,267
8323,0.722,0.267,0.5,310,855
8324,0.864,0.719,0.03,844,1499
8325,0.866,0.0,0.0,617,927
8326,0.864,0.064,0.076,989,1996
8327,0.88,0.542,0.227,822,1459
8328,0.866,0.217,0.667,695,1809
8329,0.84,0.539,0.152,322,1788
8330,0.774,0.478,0.242,753,1303
8331,0.768,0.383,0.288,579,1451
8332,0.728,0.322,0.303,35,547
8333,0.721,0.392,0.242,646,1669
8334,0.717,0.386,0.303,531,805
8335,0.824,0.006,0.106,425,967
8336,0.775,0.5,0.091,734,1191
8337,0.778,0.411,0.333,540,976
8338,0.769,0.344,0.318,916,926
8339,0.748,0.292,0.5,456,1460
8340,0.739,0.328,0.424,195,767
8341,0.732,0.306,0.47,350,522
8342,0.728,0.286,0.5,821,1308
8343,0.864,0.036,0.045,697,1627
8344,0.864,0.025,0.091,960,1673
8345,0.864,0.986,0.121,949,1721
8346,0.882,0.569,0.182,67,1347
8347,0.889,0.475,0.197,128,500
8348,0.889,0.436,0.182,696,931
8349,0.793,0.219,0.182,258,971
8350,0.752,0.478,0.197,68,1399
8351,0.752,0.469,0.212,174,1146
8352,0.751,0.478,0.212,468,838
8353,0.751,0.519,0.197,122,686
8354,0.748,0.567,0.212,308,709
8355,0.748,0.539,0.167,610,1492
8356,0.712,0.414,0.212,577,960
8357,0.71,0.381,0.273,23,1850
8358,0.708,0.367,0.318,39,1429
8359,0.702,0.419,0.227,345,1297
8360,0.704,0.608,0.288,621,907
8361,0.706,0.619,0.273,90,301
8362,0.671,0.381,0.242,833,1284
8363,0.651,0.35,0.167,246,718
8364,0.774,0.406,0.379,242,1868
8365,0.766,0.381,0.227,984,1950
8366,0.764,0.275,0.333,97,231
8367,0.752,0.253,0.591,8,114
8368,0.726,0.308,0.47,146,1086
8369,0.863,0.625,0.045,344,547
8370,0.864,0.536,0.061,998,1304
8371,0.865,0.958,0.045,216,425
8372,0.866,0.989,0.197,267,672
8373,0.888,0.492,0.212,146,391
8374,0.878,0.222,0.591,598,1905
8375,0.84,0.475,0.182,836,1308
8376,0.752,0.433,0.167,262,1907
8377,0.751,0.45,0.182,321,1703
8378,0.75,0.467,0.197,423,1518
8379,0.745,0.456,0.258,459,523
8380,0.744,0.492,0.242,857,1685
8381,0.748,0.597,0.167,782,1845
8382,0.701,0.4,0.318,736,1656
8383,0.698,0.375,0.182,429,1457
8384,0.655,0.386,0.197,282,1736
8385,0.794,0.514,0.091,614,625
8386,0.769,0.136,0.076,734,1123
8387,0.763,0.447,0.318,713,1590
8388,0.862,0.739,0.045,69,1151
8389,0.863,0.544,0.091,258,499
8390,0.864,0.572,0.091,589,1037
8391,0.867,0.939,0.182,965,1846
8392,0.867,0.058,0.212,91,1018
8393,0.881,0.556,0.167,959,1143
8394,0.886,0.497,0.182,688,1667
8395,0.886,0.481,0.152,431,909
8396,0.869,0.225,0.712,673,953
8397,0.829,0.531,0.227,210,1630
8398,0.837,0.533,0.152,354,1049
8399,0.845,0.583,0.076,177,698
8400,0.749,0.589,0.197,597,1469
8401,0.747,0.378,0.379,248,386
8402,0.745,0.406,0.318,952,1059
8403,0.747,0.6,0.152,381,1349
8404,0.732,0.289,0.303,488,608
8405,0.717,0.358,0.197,54,1487
8406,0.698,0.467,0.242,26,737
8407,0.697,0.597,0.318,140,1541
8408,0.703,0.525,0.242,499,1260
8409,0.821,0.111,0.212,639,1382
8410,0.775,0.158,0.106,218,1102
8411,0.773,0.417,0.273,998,1220
8412,0.771,0.4,0.303,174,434
8413,0.762,0.403,0.379,116,888
8414,0.791,0.733,0.136,269,1890
8415,0.861,0.706,0.061,794,892
8416,0.863,0.578,0.106,827,1194
8417,0.885,0.514,0.182,811,827
8418,0.84,0.131,0.576,419,474
8419,0.838,0.453,0.136,894,1283
8420,0.747,0.464,0.182,740,1812
8421,0.747,0.589,0.182,365,832
8422,0.758,0.403,0.197,974,1211
8423,0.742,0.467,0.182,166,643
8424,0.741,0.619,0.182,759,852
8425,0.692,0.544,0.258,195,967
8426,0.701,0.522,0.242,248,399
8427,0.68,0.45,0.333,287,1350
8428,0.679,0.417,0.333,34,1874
8429,0.656,0.381,0.152,196,1487
8430,0.654,0.336,0.197,998,1857
8431,0.829,0.986,0.152,468,545
8432,0.769,0.422,0.394,681,1941
8433,0.766,0.406,0.409,383,694
8434,0.762,0.381,0.424,311,828
8435,0.758,0.394,0.409,804,902
8436,0.851,0.847,0.121,872,1591
8437,0.87,0.836,0.106,862,1914
8438,0.745,0.422,0.167,447,1293
8439,0.745,0.511,0.152,842,1345
8440,0.742,0.392,0.348,300,1176
8441,0.733,0.308,0.303,852,1887
8442,0.709,0.361,0.318,720,1666
8443,0.695,0.331,0.288,116,199
8444,0.692,0.4,0.227,549,1864
8445,0.679,0.386,0.364,970,1135
8446,0.676,0.5,0.318,140,1768
8447,0.766,0.453,0.409,263,1724
8448,0.761,0.408,0.409,778,1893
8449,0.743,0.361,0.515,692,1434
8450,0.871,0.125,0.045,536,1311
8451,0.817,0.392,0.242,911,969
8452,0.839,0.725,0.091,597,1037
8453,0.75,0.464,0.197,998,1672
8454,0.744,0.453,0.152,255,1475
8455,0.767,0.269,0.091,434,1149
8456,0.752,0.375,0.273,96,1631
8457,0.741,0.619,0.197,206,1012
8458,0.767,0.422,0.379,941,1392
8459,0.766,0.419,0.348,267,635
8460,0.713,0.386,0.333,768,1451
8461,0.694,0.3,0.273,915,1024
8462,0.674,0.497,0.227,203,651
8463,0.807,0.117,0.455,714,1055
8464,0.712,0.806,0.197,272,1571
8465,0.809,0.886,0.061,109,1279
8466,0.87,0.172,0.061,37,359
8467,0.879,0.411,0.136,80,518
8468,0.826,0.725,0.409,962,1272
8469,0.832,0.475,0.091,980,1903
8470,0.763,0.422,0.061,948,1954
8471,0.743,0.35,0.424,822,1553
8472,0.736,0.494,0.182,765,773
8473,0.738,0.619,0.121,177,485
8474,0.739,0.65,0.152,933,1490
8475,0.749,0.75,0.273,577,957
8476,0.709,0.392,0.303,718,1540
8477,0.696,0.328,0.288,996,1228
8478,0.675,0.356,0.348,723,1787
8479,0.666,0.353,0.136,728,1607
8480,0.658,0.031,0.121,806,1175
8481,0.829,0.028,0.182,619,1135
8482,0.82,0.494,0.121,182,610
8483,0.864,0.642,0.091,423,1979
8484,0.839,0.042,0.288,722,1811
8485,0.811,0.439,0.242,313,1023
8486,0.841,0.706,0.106,587,1946
8487,0.848,0.75,0.045,432,1173
8488,0.83,0.142,0.136,633,1511
8489,0.747,0.392,0.227,499,711
8490,0.741,0.356,0.409,497,1183
8491,0.735,0.564,0.121,144,810
8492,0.74,0.756,0.167,932,1639
8493,0.742,0.789,0.182,814,1995
8494,0.747,0.803,0.242,655,1308
8495,0.758,0.447,0.379,19,468
8496,0.739,0.289,0.348,239,1572
8497,0.688,0.369,0.303,679,849
8498,0.688,0.481,0.212,461,1898
8499,0.841,0.019,0.197,948,1824
8500,0.791,0.119,0.303,777,1342
8501,0.757,0.469,0.288,799,1612
8502,0.75,0.886,0.621,816,1514
8503,0.797,0.861,0.061,445,1654
8504,0.868,0.675,0.167,933,1082
8505,0.87,0.875,0.03,344,1326
8506,0.841,0.075,0.288,389,819
8507,0.834,0.308,0.045,835,1238
8508,0.74,0.467,0.121,183,978
8509,0.734,0.525,0.121,65,309
8510,0.734,0.572,0.121,440,494
8511,0.741,0.767,0.212,687,1965
8512,0.742,0.794,0.212,120,1559
8513,0.696,0.425,0.288,101,1353
8514,0.668,0.189,0.045,593,1643
8515,0.79,0.133,0.258,647,657
8516,0.765,0.2,0.394,897,1867
8517,0.76,0.225,0.167,734,832
8518,0.738,0.739,0.227,31,1734
8519,0.753,0.458,0.424,210,368
8520,0.699,0.358,0.273,872,1898
8521,0.681,0.536,0.333,609,880
8522,0.677,0.406,0.318,84,148
8523,0.67,0.958,0.167,779,915
8524,0.82,0.864,0.061,688,1406
8525,0.868,0.539,0.121,556,930
8526,0.87,0.828,0.061,291,1160
8527,0.872,0.031,0.076,887,1030
8528,0.869,0.211,0.091,623,1544
8529,0.868,0.208,0.106,459,1582
8530,0.83,0.217,0.197,492,1420
8531,0.737,0.442,0.152,524,860
8532,0.733,0.631,0.121,887,1609
8533,0.741,0.794,0.303,67,414
8534,0.719,0.272,0.348,705,1031
8535,0.679,0.497,0.364,146,1555
8536,0.666,0.994,0.121,614,1638
8537,0.741,0.414,0.273,292,530
8538,0.74,0.386,0.303,205,610
8539,0.87,0.656,0.03,745,1650
8540,0.861,0.453,0.227,739,1772
8541,0.828,0.667,0.53,751,1363
8542,0.794,0.092,0.227,743,1371
8543,0.736,0.486,0.167,156,362
8544,0.762,0.706,0.288,709,1632
8545,0.736,0.353,0.333,892,1824
8546,0.742,0.817,0.333,857,1484
8547,0.75,0.858,0.258,572,1023
8548,0.751,0.964,0.121,544,1826
8549,0.75,0.489,0.394,509,819
8550,0.69,0.369,0.273,49,1035
8551,0.68,0.525,0.152,247,534
8552,0.676,0.492,0.242,235,241
8553,0.673,0.442,0.197,527,1692
8554,0.671,0.944,0.076,703,1275
8555,0.735,0.344,0.364,347,988
8556,0.783,0.886,0.152,259,1663
8557,0.826,0.603,0.076,251,372
8558,0.871,0.211,0.121,766,1238
8559,0.762,0.139,0.167,967,994
8560,0.73,0.369,0.182,237,348
8561,0.749,0.839,0.348,670,828
8562,0.74,0.483,0.409,7,208
8563,0.714,0.278,0.379,33,917
8564,0.682,0.353,0.076,825,1040
8565,0.681,0.203,0.076,562,1547
8566,0.673,0.4,0.061,205,1397
8567,0.873,0.192,0.061,65,161
8568,0.873,0.203,0.076,994,1882
8569,0.856,0.408,0.242,424,610
8570,0.848,0.494,0.227,578,1504
8571,0.863,0.581,0.273,392,1367
8572,0.817,0.431,0.076,217,650
8573,0.826,0.656,0.167,130,1223
8574,0.759,0.044,0.182,109,387
8575,0.738,0.5,0.106,80,1021
8576,0.682,0.153,0.212,305,1088
8577,0.674,0.0,0.318,634,1881
8578,0.736,0.386,0.227,662,985
8579,0.734,0.4,0.258,333,1478
8580,0.791,0.853,0.106,732,1251
8581,0.792,0.817,0.167,934,1552
8582,0.863,0.581,0.152,315,471
8583,0.87,0.7,0.03,268,1856
8584,0.87,0.792,0.045,519,761
8585,0.868,0.508,0.212,729,874
8586,0.731,0.425,0.136,571,1442
8587,0.729,0.428,0.106,228,649
8588,0.728,0.453,0.076,314,1291
8589,0.728,0.508,0.061,195,538
8590,0.746,0.811,0.364,677,1024
8591,0.734,0.453,0.318,567,1648
8592,0.706,0.286,0.333,226,874
8593,0.694,0.272,0.364,414,484
8594,0.68,0.95,0.379,616,724
8595,0.848,0.956,0.182,890,1547
8596,0.734,0.364,0.212,99,1525
8597,0.861,0.617,0.106,688,1718
8598,0.856,0.35,0.242,172,1825
8599,0.854,0.211,0.258,926,1091
8600,0.828,0.214,0.136,767,883
8601,0.732,0.336,0.167,257,511
8602,0.745,0.361,0.364,122,1219
8603,0.738,0.333,0.424,699,900
8604,0.728,0.489,0.061,552,1611
8605,0.748,0.811,0.364,804,875
8606,0.68,0.014,0.333,799,1185
8607,0.684,0.981,0.318,168,1088
8608,0.684,0.036,0.242,447,1330
8609,0.871,0.189,0.061,775,1894
8610,0.847,0.103,0.288,17,1408
8611,0.799,0.125,0.227,326,1563
8612,0.727,0.55,0.061,31,930
8613,0.738,0.794,0.364,742,1121
8614,0.741,0.8,0.394,604,615
8615,0.752,0.811,0.288,388,1868
8616,0.727,0.481,0.364,587,705
8617,0.728,0.514,0.379,224,1560
8618,0.734,0.414,0.303,569,1946
8619,0.732,0.422,0.318,579,994
8620,0.726,0.336,0.318,304,576
8621,0.823,0.75,0.121,911,1916
8622,0.831,0.65,0.121,792,1526
8623,0.856,0.672,0.076,499,1586
8624,0.859,0.664,0.106,633,815
8625,0.861,0.719,0.091,685,937
8626,0.87,0.7,0.045,435,1661
8627,0.872,0.217,0.091,380,792
8628,0.87,0.2,0.045,957,1299
8629,0.8,0.678,0.394,913,1137
8630,0.857,0.056,0.152,15,786
8631,0.852,0.989,0.152,64,1049
8632,0.733,0.436,0.379,424,1327
8633,0.807,0.936,0.182,88,253
8634,0.808,0.939,0.197,292,674
8635,0.822,0.075,0.03,340,1207
8636,0.826,0.969,0.091,459,1949
8637,0.85,0.625,0.061,482,1142
8638,0.842,0.494,0.076,650,1991
8639,0.812,0.061,0.273,584,1695
8640,0.72,0.494,0.439,905,1067
8641,0.706,0.369,0.364,686,1868
8642,0.684,0.842,0.242,554,608
8643,0.681,0.208,0.242,423,692
8644,0.78,0.65,0.242,250,1716
8645,0.861,0.733,0.106,518,1829
8646,0.836,0.217,0.106,906,1922
8647,0.842,0.464,0.091,726,1233
8648,0.731,0.422,0.076,658,1809
8649,0.731,0.481,0.091,526,1769
8650,0.731,0.5,0.121,306,408
8651,0.728,0.439,0.182,8,822
8652,0.725,0.458,0.045,430,447
8653,0.725,0.589,0.136,569,1799
8654,0.731,0.867,0.303,149,1647
8655,0.682,0.942,0.273,437,1785
8656,0.688,0.911,0.409,471,1846
8657,0.694,0.994,0.318,47,1960
8658,0.73,0.508,0.242,759,1040
8659,0.719,0.456,0.561,204,1226
8660,0.715,0.414,0.333,151,1838
8661,0.731,0.714,0.227,569,748
8662,0.752,0.736,0.424,152,1789
8663,0.832,0.014,0.167,137,1139
8664,0.841,0.5,0.106,160,1717
8665,0.73,0.375,0.061,690,1199
8666,0.73,0.453,0.091,435,1351
8667,0.728,0.772,0.303,710,740
8668,0.747,0.683,0.167,979,1663
8669,0.699,0.042,0.364,246,786
8670,0.727,0.525,0.152,160,1060
8671,0.726,0.383,0.333,99,1253
8672,0.823,0.664,0.015,457,1090
8673,0.838,0.322,0.182,162,1156
8674,0.84,0.278,0.106,10,1132
8675,0.728,0.281,0.136,406,912
8676,0.728,0.575,0.273,915,1686
8677,0.722,0.644,0.182,182,584
8678,0.687,0.331,0.288,578,1704
8679,0.684,0.003,0.182,485,838
8680,0.688,0.936,0.409,625,1552
8681,0.696,0.925,0.485,477,1418
8682,0.794,0.867,0.197,742,947
8683,0.874,0.189,0.076,198,532
8684,0.836,0.528,0.333,593,836
8685,0.827,0.114,0.212,100,650
8686,0.862,0.864,0.303,302,707
8687,0.828,0.186,0.106,82,1524
8688,0.724,0.392,0.045,368,524
8689,0.724,0.453,0.091,777,1863
8690,0.735,0.539,0.303,348,1773
8691,0.747,0.675,0.167,529,1153
8692,0.691,0.9,0.273,907,1149
8693,0.692,0.081,0.182,139,797
8694,0.704,0.936,0.424,860,1759
8695,0.862,0.969,0.303,781,1736
8696,0.829,0.069,0.379,567,1058
8697,0.827,0.9,0.121,666,1043
8698,0.875,0.172,0.061,708,818
8699,0.846,0.569,0.227,170,656
8700,0.731,0.075,0.167,783,1715
8701,0.724,0.25,0.091,277,1582
8702,0.744,0.467,0.333,729,877
8703,0.693,0.106,0.227,207,403
8704,0.702,0.919,0.439,256,383
8705,0.86,0.961,0.288,217,571
8706,0.873,0.244,0.091,672,1556
8707,0.821,0.511,0.333,224,1994
8708,0.832,0.536,0.455,444,1802
8709,0.759,0.058,0.288,991,1313
8710,0.732,0.081,0.167,633,1607
8711,0.72,0.697,0.242,700,1355
8712,0.737,0.622,0.333,98,1341
8713,0.739,0.589,0.348,126,1242
8714,0.688,0.403,0.182,27,1702
8715,0.687,0.369,0.121,515,1076
8716,0.692,0.969,0.258,258,1644
8717,0.836,0.086,0.364,948,1099
8718,0.75,0.203,0.197,382,1903
8719,0.727,0.719,0.409,147,1926
8720,0.737,0.525,0.364,332,1519
8721,0.697,0.406,0.182,663,1444
8722,0.688,0.95,0.227,3,1407
8723,0.694,0.125,0.364,577,1120
8724,0.797,0.731,0.167,533,1541
8725,0.827,0.55,0.136,728,1980
8726,0.874,0.228,0.106,591,1132
8727,0.872,0.25,0.061,699,1252
8728,0.826,0.269,0.258,509,1487
8729,0.786,0.425,0.061,71,81
8730,0.826,0.442,0.197,846,1854
8731,0.729,0.689,0.288,849,1646
8732,0.733,0.533,0.273,268,1273
8733,0.687,0.869,0.121,527,781
8734,0.7,0.931,0.318,251,1423
8735,0.712,0.872,0.273,165,685
8736,0.846,0.075,0.182,609,1886
8737,0.843,0.019,0.167,375,1591
8738,0.804,0.706,0.47,633,1603
8739,0.742,0.1,0.167,373,1350
8740,0.721,0.139,0.121,99,727
8741,0.726,0.725,0.348,371,1716
8742,0.692,0.881,0.318,421,1873
8743,0.694,0.886,0.348,485,1155
8744,0.702,0.131,0.333,333,1670
8745,0.698,0.942,0.303,214,635
8746,0.699,0.95,0.303,232,455
8747,0.711,0.847,0.303,463,1898
8748,0.788,0.633,0.106,376,600
8749,0.72,0.925,0.03,707,1425
8750,0.722,0.736,0.364,211,609
8751,0.728,0.703,0.258,762,1581
8752,0.73,0.642,0.152,969,1531
8753,0.699,0.878,0.303,865,1792
8754,0.701,0.878,0.288,227,240
8755,0.709,0.9,0.273,473,1058
8756,0.839,0.942,0.303,866,893
8757,0.875,0.289,0.061,613,821
8758,0.825,0.428,0.47,394,1808
8759,0.816,0.444,0.364,779,1268
8760,0.814,0.681,0.227,237,1558
8761,0.72,0.292,0.045,283,1637
8762,0.722,0.733,0.348,840,1140
8763,0.695,0.903,0.348,562,1798
8764,0.703,0.992,0.303,768,1693
8765,0.86,0.506,0.409,903,984
8766,0.803,0.714,0.242,32,1686
8767,0.87,0.844,0.106,115,1199
8768,0.833,0.061,0.364,443,475
8769,0.828,0.522,0.212,272,348
8770,0.811,0.458,0.364,998,1054
8771,0.852,0.819,0.227,933,1027
8772,0.86,0.889,0.167,655,840
8773,0.773,0.175,0.182,829,1286
8774,0.704,0.881,0.227,730,1151
8775,0.708,0.933,0.333,381,405
8776,0.713,0.95,0.197,259,1519
8777,0.853,0.589,0.182,46,714
8778,0.824,0.278,0.273,562,1655
8779,0.795,0.169,0.197,401,1009
8780,0.704,0.897,0.258,781,1285
8781,0.708,0.956,0.288,138,1597
8782,0.87,0.561,0.364,993,1823
8783,0.876,0.0,0.061,616,784
8784,0.875,0.25,0.061,798,1263
8785,0.719,0.092,0.273,137,991
8786,0.709,0.458,0.182,190,280
8787,0.703,0.872,0.288,399,1137
8788,0.714,0.914,0.258,865,1110
8789,0.717,0.9,0.197,707,1555
8790,0.716,0.106,0.076,46,1129
8791,0.875,0.269,0.061,968,1177
8792,0.816,0.672,0.273,298,1588
8793,0.702,0.819,0.288,719,1506
8794,0.81,0.653,0.152,706,1311
8795,0.837,0.911,0.227,443,754
8796,0.847,0.922,0.167,384,1400
8797,0.864,0.836,0.152,994,1725
8798,0.736,0.017,0.197,477,1844
8799,0.707,0.836,0.333,111,537
8800,0.709,0.883,0.273,324,872
8801,0.71,0.894,0.273,729,1043
8802,0.716,0.931,0.136,993,1335
8803,0.827,0.983,0.212,737,828
8804,0.84,0.906,0.167,850,1974
8805,0.876,0.208,0.076,619,1412
8806,0.801,0.408,0.318,155,1181
8807,0.819,0.75,0.273,465,1071
8808,0.704,0.061,0.227,443,806
8809,0.711,0.875,0.273,756,1874
8810,0.715,0.95,0.212,656,1343
8811,0.752,0.033,0.333,408,1926
8812,0.803,0.019,0.152,862,1985
8813,0.877,0.161,0.061,505,1506
8814,0.821,0.136,0.348,533,1675
8815,0.815,0.225,0.106,415,765
8816,0.699,0.964,0.136,566,810
8817,0.699,0.861,0.227,87,1061
8818,0.707,0.847,0.288,734,1699
8819,0.71,0.925,0.091,167,1341
8820,0.762,0.717,0.152,596,1240
8821,0.877,0.158,0.076,560,843
8822,0.782,0.425,0.227,122,1308
8823,0.755,0.125,0.258,325,1618
8824,0.715,0.858,0.242,383,917
8825,0.883,0.153,0.121,188,666
8826,0.719,0.233,0.273,927,1484
8827,0.875,0.761,0.182,433,551
8828,0.879,0.206,0.121,887,1492
8829,0.787,0.678,0.258,427,1097
8830,0.812,0.167,0.152,176,483
8831,0.709,0.817,0.242,186,511
8832,0.711,0.939,0.061,830,943
8833,0.711,0.028,0.061,7,1681
8834,0.857,0.719,0.091,195,633
8835,0.788,0.497,0.152,252,742
8836,0.799,0.406,0.409,383,1975
8837,0.802,0.172,0.136,133,998
8838,0.705,0.075,0.121,452,1080
8839,0.768,0.092,0.348,516,1378
8840,0.799,0.664,0.167,564,1652
8841,0.861,0.014,0.152,40,297
8842,0.88,0.708,0.197,659,711
8843,0.881,0.272,0.106,923,1031
8844,0.88,0.261,0.106,857,1351
8845,0.799,0.531,0.364,645,810
8846,0.706,0.022,0.106,898,1965
8847,0.701,0.906,0.076,973,1604
8848,0.708,0.803,0.227,698,1293
8849,0.71,0.797,0.182,320,1948
8850,0.862,0.75,0.242,497,1180
8851,0.802,0.142,0.182,408,966
8852,0.707,0.086,0.106,839,1065
8853,0.711,0.797,0.167,816,912
8854,0.713,0.9,0.061,679,1436
8855,0.853,0.981,0.182,814,1236
8856,0.856,0.094,0.106,211,1386
8857,0.771,0.097,0.258,702,1054
8858,0.71,0.8,0.182,985,1362
8859,0.713,0.792,0.076,666,1400
8860,0.714,0.917,0.061,700,928
8861,0.715,0.961,0.121,849,1940
8862,0.775,0.886,0.212,166,1682
8863,0.783,0.719,0.121,435,1671
8864,0.823,0.811,0.227,156,743
8865,0.836,0.7,0.136,128,1129
8866,0.873,0.017,0.136,749,991
8867,0.783,0.572,0.409,558,1353
8868,0.71,0.944,0.091,408,757
8869,0.789,0.633,0.197,559,600
8870,0.879,0.45,0.045,334,1501
8871,0.711,0.025,0.106,675,1222
8872,0.706,0.986,0.121,220,449
8873,0.767,0.353,0.318,224,1041
8874,0.794,0.811,0.167,340,1247
8875,0.707,0.944,0.136,327,1125
8876,0.708,0.953,0.152,491,1404
8877,0.778,0.864,0.273,95,641
8878,0.87,0.011,0.182,455,1231
8879,0.776,0.058,0.227,551,1994
8880,0.712,0.064,0.106,675,1167
8881,0.863,0.886,0.242,162,1924
8882,0.876,0.65,0.121,548,1378
8883,0.785,0.117,0.197,653,1012
8884,0.757,0.55,0.288,900,1018
8885,0.787,0.186,0.136,687,1575
8886,0.777,0.011,0.242,262,869
8887,0.746,0.067,0.167,480,624
8888,0.779,0.036,0.333,709,1516
8889,0.872,0.936,0.167,338,1801
8890,0.804,0.097,0.379,548,1108
8891,0.737,0.322,0.242,733,1973
8892,0.83,0.842,0.152,725,1205
8893,0.842,0.917,0.152,1000,1930
8894,0.848,0.8,0.136,840,853
8895,0.866,0.939,0.288,0,1886
8896,0.714,0.092,0.076,106,330
8897,0.817,0.819,0.152,789,1572
8898,0.748,0.186,0.273,421,1831
8899,0.878,0.794,0.091,774,1032
8900,0.881,0.8,0.136,220,1822
8901,0.797,0.131,0.439,64,408
8902,0.715,0.036,0.045,645,1458
8903,0.787,0.828,0.076,191,252
8904,0.828,0.792,0.167,945,1201
8905,0.829,0.825,0.121,646,1485
8906,0.858,0.861,0.121,305,1950
8907,0.819,0.019,0.212,331,1138
8908,0.749,0.525,0.091,393,1368
8909,0.77,0.636,0.318,417,937
8910,0.715,0.125,0.061,211,1265
8911,0.715,0.011,0.061,930,1795
8912,0.715,0.972,0.061,464,477
8913,0.767,0.294,0.364,515,562
8914,0.737,0.208,0.5,8,1395
8915,0.771,0.019,0.424,245,762
8916,0.785,0.964,0.197,299,1768
8917,0.845,0.647,0.076,690,1416
8918,0.877,0.864,0.152,853,1102
8919,0.844,0.144,0.091,300,1040
8920,0.767,0.303,0.136,499,1039
8921,0.758,0.236,0.152,1,124
8922,0.877,0.842,0.197,444,1419
8923,0.883,0.875,0.106,996,1430
8924,0.771,0.042,0.106,811,1441
8925,0.766,0.069,0.227,959,1429
8926,0.789,0.031,0.197,569,618
8927,0.882,0.864,0.136,565,1553
8928,0.815,0.258,0.379,135,479
8929,0.874,0.797,0.258,258,1202
8930,0.75,0.208,0.106,662,1370
8931,0.764,0.906,0.258,142,1980
8932,0.723,0.172,0.152,461,714
8933,0.859,0.786,0.167,971,1587
8934,0.876,0.675,0.152,353,1174
8935,0.874,0.797,0.242,59,1834
8936,0.744,0.494,0.076,59,1439
8937,0.769,0.572,0.424,512,747
8938,0.843,0.681,0.152,968,1825
8939,0.845,0.781,0.212,471,1285
8940,0.844,0.194,0.076,970,1374
8941,0.793,0.178,0.424,309,1573
8942,0.785,0.069,0.288,127,604
8943,0.793,0.875,0.303,34,1174
8944,0.876,0.836,0.227,640,1418
8945,0.848,0.358,0.136,691,800
8946,0.878,0.847,0.212,961,1005
8947,0.827,0.289,0.333,411,1613
8948,0.766,0.447,0.227,117,252
8949,0.878,0.897,0.182,785,1828
8950,0.851,0.156,0.227,477,845
8951,0.78,0.836,0.455,512,917
8952,0.885,0.861,0.182,710,842
8953,0.84,0.292,0.333,711,1245
8954,0.85,0.222,0.061,588,1303
8955,0.845,0.083,0.121,270,389
8956,0.763,0.375,0.045,382,726
8957,0.838,0.55,0.182,12,1821
8958,0.836,0.267,0.212,533,919
8959,0.835,0.531,0.227,72,1578
8960,0.837,0.317,0.212,317,1019
8961,0.882,0.447,0.227,941,1226
8962,0.762,0.289,0.212,858,1526
8963,0.798,0.083,0.273,50,1120
8964,0.763,0.114,0.379,211,550
8965,0.733,0.889,0.258,29,1030
8966,0.751,0.072,0.333,6,896
8967,0.826,0.169,0.152,719,1245
8968,0.762,0.072,0.197,390,578
8969,0.805,0.106,0.333,117,1495
8970,0.784,0.219,0.318,13,1432
8971,0.734,0.794,0.303,246,777
8972,0.795,0.022,0.197,35,1616
