id,t,u,v,w,x,ts_in,ts_out
16056,0.728,0.392,0.348,0.061,0.557,73,1839
16057,0.724,0.383,0.348,0.048,0.552,786,1735
16058,0.723,0.419,0.258,0.043,0.548,477,1115
16059,0.722,0.464,0.167,0.03,0.544,721,1375
16060,0.723,0.564,0.106,0.021,0.54,30,1704
16061,0.723,0.258,0.136,0.0,0.535,660,1148
16062,0.719,0.111,0.182,0.0,0.531,322,1971
16063,0.72,0.914,0.258,0.021,0.527,117,1214
16064,0.722,0.936,0.242,0.03,0.523,724,1337
16065,0.722,0.914,0.273,0.048,0.519,208,557
16066,0.724,0.867,0.318,0.061,0.514,396,1457
16067,0.726,0.875,0.273,0.077,0.51,908,1037
16068,0.728,0.872,0.258,0.096,0.506,733,1543
16069,0.73,0.922,0.227,0.116,0.502,593,1357
16070,0.73,0.0,0.212,0.136,0.498,548,807
16071,0.73,0.061,0.197,0.152,0.493,309,1170
16072,0.729,0.111,0.182,0.168,0.489,240,284
16073,0.728,0.125,0.136,0.172,0.485,10,858
16074,0.727,0.169,0.076,0.173,0.481,649,1123
16075,0.727,0.5,0.015,0.177,0.476,238,541
16076,0.727,0.333,0.121,0.183,0.472,865,1725
16077,0.725,0.328,0.212,0.192,0.468,502,1549
16078,0.723,0.344,0.273,0.198,0.464,451,1422
16079,0.721,0.392,0.288,0.183,0.46,302,1737
16080,0.72,0.483,0.303,0.168,0.455,527,1628
16081,0.72,0.467,0.379,0.152,0.451,257,1513
16082,0.719,0.45,0.439,0.137,0.447,979,1321
16083,0.717,0.447,0.455,0.125,0.443,62,940
16084,0.716,0.408,0.455,0.116,0.439,530,722
16085,0.713,0.386,0.485,0.11,0.434,909,1344
16086,0.709,0.428,0.485,0.107,0.43,135,1408
16087,0.708,0.506,0.515,0.107,0.426,555,1056
16088,0.71,0.522,0.561,0.107,0.422,109,1942
16089,0.71,0.536,0.561,0.107,0.417,526,1458
16090,0.713,0.556,0.515,0.107,0.413,70,1814
16091,0.714,0.517,0.409,0.107,0.409,592,1937
16092,0.713,0.467,0.348,0.107,0.405,478,1977
16093,0.713,0.417,0.364,0.107,0.401,429,671
16094,0.71,0.394,0.394,0.11,0.396,379,816
16095,0.708,0.369,0.364,0.11,0.392,500,1401
16096,0.706,0.281,0.5,0.096,0.388,695,1584
16097,0.698,0.253,0.621,0.077,0.384,495,1551
16098,0.691,0.258,0.576,0.061,0.38,860,1187
16099,0.685,0.269,0.5,0.043,0.375,878,1910
16100,0.681,0.25,0.227,0.021,0.371,291,361
16101,0.681,0.803,0.258,0.0,0.367,208,1054
16102,0.685,0.786,0.5,0.021,0.363,898,1998
16103,0.69,0.783,0.53,0.03,0.359,412,1966
16104,0.696,0.794,0.515,0.048,0.354,302,1102
16105,0.701,0.85,0.379,0.068,0.35,329,1620
16106,0.702,0.989,0.318,0.089,0.346,903,1623
16107,0.701,0.994,0.364,0.096,0.342,600,820
16108,0.702,0.997,0.348,0.107,0.338,600,1788
16109,0.701,0.042,0.348,0.11,0.333,627,1931
16110,0.701,0.042,0.348,0.116,0.329,483,1582
16111,0.7,0.039,0.364,0.125,0.325,673,1945
16112,0.699,0.014,0.379,0.129,0.321,36,1289
16113,0.699,0.022,0.394,0.125,0.316,543,642
16114,0.698,0.053,0.379,0.116,0.312,123,919
16115,0.697,0.019,0.333,0.11,0.308,108,1549
16116,0.697,0.036,0.333,0.107,0.304,646,1306
16117,0.695,0.075,0.364,0.107,0.3,895,1809
16118,0.694,0.028,0.348,0.107,0.295,395,919
16119,0.694,0.994,0.318,0.107,0.291,140,908
16120,0.694,0.011,0.273,0.107,0.287,291,1711
16121,0.694,0.044,0.227,0.107,0.283,1,1006
16122,0.693,0.072,0.227,0.107,0.278,911,1673
16123,0.692,0.086,0.273,0.091,0.274,967,1207
16124,0.691,0.083,0.273,0.077,0.27,784,1593
16125,0.69,0.111,0.258,0.061,0.266,54,1777
16126,0.688,0.117,0.227,0.043,0.262,18,138
16127,0.687,0.067,0.197,0.021,0.257,638,733
16128,0.686,0.992,0.242,0.0,0.253,720,1255
16129,0.687,0.014,0.288,0.0,0.249,490,648
16130,0.686,0.069,0.364,0.021,0.245,643,755
16131,0.684,0.058,0.379,0.043,0.241,815,1958
16132,0.683,0.025,0.379,0.064,0.236,306,527
16133,0.682,0.022,0.394,0.064,0.232,865,1095
16134,0.682,0.031,0.394,0.064,0.228,957,1328
16135,0.681,0.047,0.409,0.061,0.224,86,1948
16136,0.68,0.075,0.424,0.048,0.22,414,1496
16137,0.678,0.061,0.409,0.043,0.215,668,968
16138,0.677,0.047,0.394,0.043,0.211,28,106
16139,0.675,0.039,0.379,0.043,0.207,109,1859
16140,0.675,0.042,0.379,0.043,0.203,705,1288
16141,0.673,0.039,0.379,0.043,0.199,404,1053
16142,0.673,0.958,0.379,0.043,0.194,388,1593
16143,0.675,0.911,0.409,0.048,0.19,34,1517
16144,0.677,0.933,0.394,0.061,0.186,614,1971
16145,0.678,0.978,0.394,0.068,0.182,382,1093
16146,0.678,0.011,0.424,0.068,0.177,56,777
16147,0.678,0.039,0.424,0.064,0.173,190,1443
16148,0.676,0.053,0.439,0.064,0.169,194,1409
16149,0.675,0.042,0.47,0.064,0.165,599,1345
16150,0.674,0.028,0.485,0.068,0.161,119,1299
16151,0.673,0.006,0.47,0.077,0.157,622,1582
16152,0.673,0.986,0.455,0.086,0.152,120,364
16153,0.674,0.992,0.409,0.086,0.148,343,1583
16154,0.674,0.047,0.348,0.086,0.144,237,401
16155,0.672,0.106,0.333,0.064,0.14,268,374
16156,0.67,0.122,0.333,0.043,0.135,135,1662
16157,0.668,0.103,0.242,0.021,0.131,332,1317
16158,0.667,0.858,0.227,0.0,0.127,744,1808
16159,0.671,0.8,0.379,0.021,0.123,603,1723
16160,0.674,0.822,0.318,0.043,0.119,392,1065
16161,0.676,0.85,0.212,0.064,0.115,602,1900
16162,0.678,0.847,0.152,0.086,0.11,19,1520
16163,0.679,0.85,0.061,0.107,0.106,382,1748
16164,0.679,0.95,0.03,0.129,0.102,867,1084
16165,0.679,0.078,0.061,0.15,0.098,961,1899
16166,0.676,0.239,0.091,0.168,0.085,350,604
16167,0.675,0.344,0.045,0.152,0.081,895,1412
16168,0.675,0.389,0.061,0.137,0.077,737,1730
16169,0.674,0.419,0.091,0.122,0.073,157,487
16170,0.674,0.422,0.091,0.107,0.069,292,1205
16171,0.674,0.325,0.061,0.091,0.064,271,976
16172,0.673,0.242,0.076,0.077,0.06,693,828
16173,0.672,0.169,0.03,0.068,0.056,55,1053
16174,0.673,0.156,0.045,0.064,0.052,65,1871
16175,0.671,0.272,0.106,0.064,0.048,847,1884
16176,0.67,0.469,0.076,0.068,0.044,644,1218
16177,0.671,0.594,0.076,0.077,0.04,173,984
16178,0.671,0.3,0.03,0.091,0.036,174,394
16179,0.671,0.167,0.061,0.107,0.032,110,1086
16180,0.671,0.272,0.045,0.125,0.028,830,1580
16181,0.67,0.386,0.061,0.144,0.025,906,1389
16182,0.669,0.375,0.045,0.163,0.021,726,1461
16183,0.658,0.336,0.152,0.048,0.046,484,1460
16184,0.658,0.381,0.121,0.043,0.048,159,259
16185,0.648,0.414,0.015,0.0,0.081,639,1188
16186,0.648,0.5,0.015,0.0,0.085,515,1215
16187,0.648,0.486,0.045,0.0,0.089,470,1746
16188,0.648,0.4,0.091,0.0,0.092,88,1668
16189,0.758,0.311,0.182,0.215,0.793,658,1216
16190,0.757,0.386,0.197,0.215,0.788,515,959
16191,0.756,0.417,0.197,0.219,0.784,314,1885
16192,0.755,0.461,0.152,0.224,0.78,247,350
16193,0.755,0.486,0.121,0.231,0.776,527,1658
16194,0.755,0.444,0.106,0.24,0.772,358,1653
16195,0.755,0.392,0.136,0.251,0.767,706,849
16196,0.754,0.447,0.152,0.262,0.763,644,1209
16197,0.754,0.508,0.197,0.275,0.759,735,970
16198,0.754,0.508,0.242,0.286,0.755,820,1728
16199,0.754,0.5,0.242,0.292,0.75,938,1744
16200,0.754,0.517,0.273,0.299,0.746,693,1236
16201,0.755,0.475,0.288,0.304,0.742,603,1464
16202,0.753,0.433,0.303,0.308,0.738,375,1477
16203,0.741,0.472,0.197,0.144,0.607,720,1812
16204,0.74,0.472,0.182,0.136,0.603,236,1336
16205,0.74,0.467,0.152,0.125,0.599,941,1445
16206,0.74,0.425,0.167,0.116,0.595,363,1694
16207,0.739,0.386,0.197,0.107,0.59,956,1266
16208,0.737,0.375,0.242,0.096,0.586,336,1992
16209,0.735,0.358,0.273,0.089,0.582,169,528
16210,0.734,0.347,0.288,0.086,0.578,128,1948
16211,0.732,0.339,0.318,0.077,0.574,605,1642
16212,0.729,0.358,0.318,0.068,0.569,27,975
16213,0.726,0.417,0.303,0.061,0.565,405,1817
16214,0.724,0.442,0.348,0.048,0.561,543,1737
16215,0.723,0.411,0.348,0.043,0.557,523,1177
16216,0.721,0.386,0.273,0.03,0.552,998,1093
16217,0.72,0.425,0.121,0.021,0.548,49,441
16218,0.72,0.536,0.061,0.021,0.544,446,458
16219,0.72,0.656,0.076,0.0,0.54,164,1571
16220,0.721,0.125,0.015,0.0,0.536,394,475
16221,0.721,0.969,0.152,0.021,0.531,759,941
16222,0.723,0.906,0.273,0.03,0.527,513,1820
16223,0.723,0.933,0.258,0.048,0.523,933,1469
16224,0.724,0.919,0.273,0.061,0.519,548,1629
16225,0.726,0.875,0.288,0.077,0.515,121,1888
16226,0.729,0.875,0.242,0.091,0.51,909,1940
16227,0.729,0.861,0.212,0.107,0.506,665,1748
16228,0.731,0.869,0.152,0.125,0.502,404,1684
16229,0.731,0.0,0.091,0.144,0.498,531,1300
16230,0.731,0.131,0.136,0.163,0.493,61,877
16231,0.729,0.158,0.167,0.183,0.489,276,1491
16232,0.729,0.181,0.167,0.193,0.485,273,385
16233,0.727,0.236,0.136,0.195,0.481,668,1586
16234,0.726,0.375,0.061,0.198,0.477,67,612
16235,0.726,0.342,0.167,0.204,0.472,426,1542
16236,0.723,0.336,0.273,0.198,0.468,794,949
16237,0.722,0.344,0.318,0.183,0.464,288,336
16238,0.719,0.367,0.348,0.168,0.46,34,1848
16239,0.717,0.447,0.318,0.152,0.456,49,1502
16240,0.717,0.447,0.364,0.137,0.451,656,1986
16241,0.714,0.425,0.424,0.122,0.447,972,1853
16242,0.713,0.442,0.455,0.107,0.443,465,1704
16243,0.712,0.431,0.485,0.096,0.439,798,822
16244,0.709,0.394,0.515,0.089,0.434,605,1172
16245,0.705,0.403,0.5,0.086,0.43,534,814
16246,0.703,0.469,0.53,0.086,0.426,787,1773
16247,0.703,0.492,0.652,0.086,0.422,454,1492
16248,0.704,0.503,0.773,0.086,0.418,97,242
16249,0.707,0.514,0.864,0.086,0.413,144,1934
16250,0.709,0.506,0.924,0.086,0.409,34,401
16251,0.709,0.494,0.924,0.086,0.405,771,1186
16252,0.709,0.483,0.924,0.086,0.401,729,759
16253,0.706,0.478,0.909,0.089,0.397,26,1090
16254,0.704,0.483,0.864,0.089,0.392,257,1088
16255,0.702,0.456,0.803,0.086,0.388,283,474
16256,0.697,0.403,0.697,0.068,0.384,159,522
16257,0.69,0.342,0.576,0.048,0.38,82,1911
16258,0.684,0.297,0.439,0.03,0.376,653,1787
16259,0.681,0.228,0.121,0.021,0.371,203,657
16260,0.682,0.794,0.303,0.0,0.367,453,767
16261,0.687,0.781,0.5,0.021,0.363,746,1205
16262,0.692,0.783,0.545,0.043,0.359,365,477
16263,0.697,0.786,0.53,0.061,0.355,942,1482
16264,0.702,0.803,0.379,0.077,0.35,345,763
16265,0.705,0.911,0.227,0.096,0.346,302,1582
16266,0.705,0.975,0.258,0.116,0.342,599,810
16267,0.705,0.011,0.273,0.125,0.338,464,1803
16268,0.704,0.064,0.273,0.13,0.333,717,1378
16269,0.703,0.058,0.258,0.136,0.329,177,232
16270,0.703,0.033,0.258,0.144,0.325,960,1951
16271,0.702,0.006,0.273,0.15,0.321,433,1544
16272,0.702,0.033,0.288,0.144,0.317,668,1162
16273,0.701,0.075,0.318,0.136,0.312,169,1521
16274,0.7,0.039,0.288,0.13,0.308,359,1149
16275,0.7,0.044,0.273,0.129,0.304,681,1410
16276,0.698,0.081,0.303,0.129,0.3,828,1055
16277,0.697,0.033,0.288,0.125,0.295,749,839
16278,0.697,0.019,0.258,0.116,0.291,792,1080
16279,0.696,0.05,0.227,0.11,0.287,172,830
16280,0.696,0.072,0.212,0.107,0.283,675,1059
16281,0.695,0.089,0.212,0.091,0.279,886,1992
16282,0.694,0.108,0.197,0.077,0.275,233,737
16283,0.693,0.147,0.212,0.061,0.27,108,165
16284,0.691,0.194,0.242,0.048,0.266,583,1887
16285,0.688,0.183,0.167,0.03,0.262,384,533
16286,0.688,0.031,0.121,0.021,0.258,904,976
16287,0.688,0.942,0.182,0.0,0.253,609,1037
16288,0.689,0.983,0.227,0.021,0.249,588,903
16289,0.688,0.056,0.303,0.03,0.245,268,1066
16290,0.687,0.039,0.364,0.048,0.241,46,100
16291,0.687,0.017,0.394,0.068,0.237,610,1242
16292,0.686,0.019,0.409,0.086,0.232,340,1955
16293,0.686,0.031,0.409,0.086,0.228,632,853
16294,0.685,0.056,0.394,0.077,0.224,164,842
16295,0.683,0.078,0.409,0.068,0.22,158,918
16296,0.681,0.069,0.394,0.064,0.216,622,1122
16297,0.68,0.047,0.379,0.064,0.211,400,1192
16298,0.679,0.039,0.379,0.064,0.207,783,947
16299,0.678,0.042,0.379,0.064,0.203,645,1806
16300,0.677,0.036,0.379,0.064,0.199,359,912
16301,0.677,0.967,0.379,0.064,0.195,668,796
16302,0.678,0.919,0.394,0.068,0.19,770,1551
16303,0.68,0.922,0.364,0.077,0.186,684,1431
16304,0.682,0.953,0.348,0.089,0.182,499,503
16305,0.682,0.008,0.364,0.089,0.178,487,774
16306,0.681,0.044,0.394,0.086,0.174,527,1232
16307,0.68,0.044,0.409,0.086,0.169,81,1396
16308,0.679,0.025,0.439,0.086,0.165,171,361
16309,0.679,0.025,0.47,0.089,0.161,296,667
16310,0.678,0.014,0.47,0.096,0.157,51,1799
16311,0.678,0.994,0.439,0.096,0.153,127,154
16312,0.678,0.019,0.409,0.089,0.149,955,1980
16313,0.677,0.081,0.394,0.086,0.144,439,1296
16314,0.674,0.128,0.364,0.064,0.14,149,168
16315,0.672,0.158,0.333,0.043,0.136,664,1994
16316,0.67,0.178,0.242,0.021,0.132,318,1121
16317,0.668,0.772,0.106,0.0,0.128,242,921
16318,0.671,0.728,0.364,0.021,0.123,178,1258
16319,0.675,0.728,0.303,0.043,0.119,405,1387
16320,0.677,0.733,0.167,0.064,0.115,589,941
16321,0.678,0.694,0.091,0.086,0.111,959,1942
16322,0.678,0.536,0.061,0.107,0.107,339,1756
16323,0.678,0.506,0.091,0.129,0.103,975,1168
16324,0.678,0.528,0.076,0.15,0.098,828,881
16325,0.679,0.364,0.076,0.163,0.094,307,1920
16326,0.677,0.289,0.167,0.156,0.09,665,704
16327,0.674,0.228,0.03,0.137,0.082,248,1989
16328,0.674,0.214,0.061,0.122,0.078,359,902
16329,0.673,0.25,0.061,0.107,0.074,602,957
16330,0.673,0.25,0.015,0.091,0.07,377,1146
16331,0.673,0.064,0.03,0.077,0.065,216,1593
16332,0.673,0.125,0.076,0.061,0.061,377,988
16333,0.672,0.061,0.061,0.048,0.057,666,1621
16334,0.673,0.081,0.076,0.043,0.053,11,175
16335,0.672,0.167,0.152,0.043,0.049,187,1706
16336,0.67,0.086,0.091,0.048,0.045,501,1713
16337,0.671,0.861,0.061,0.061,0.041,674,963
16338,0.672,0.375,0.015,0.077,0.038,941,1908
16339,0.671,0.342,0.076,0.096,0.034,644,1033
16340,0.671,0.331,0.091,0.116,0.03,324,1126
16341,0.67,0.361,0.061,0.136,0.027,965,1926
16342,0.657,0.394,0.167,0.03,0.049,192,624
16343,0.656,0.389,0.167,0.021,0.051,534,1330
16344,0.655,0.331,0.182,0.021,0.054,17,44
16345,0.653,0.311,0.167,0.021,0.057,906,1536
16346,0.652,0.356,0.091,0.0,0.06,924,1999
16347,0.65,0.058,0.106,0.0,0.073,75,1507
16348,0.649,0.064,0.106,0.0,0.076,640,672
16349,0.649,0.064,0.091,0.021,0.08,651,1914
16350,0.649,0.019,0.091,0.021,0.083,398,1636
16351,0.649,0.994,0.091,0.021,0.087,676,1874
16352,0.649,0.067,0.091,0.021,0.09,718,1417
16353,0.648,0.194,0.106,0.0,0.094,570,1232
16354,0.646,0.297,0.076,0.0,0.098,991,1305
16355,0.761,0.175,0.258,0.237,0.797,7,738
16356,0.758,0.203,0.258,0.236,0.793,628,1278
16357,0.756,0.242,0.197,0.237,0.789,760,1898
16358,0.755,0.306,0.106,0.24,0.784,537,591
16359,0.755,0.431,0.061,0.245,0.78,637,1075
16360,0.755,0.475,0.076,0.251,0.776,41,633
16361,0.755,0.425,0.106,0.259,0.772,959,1869
16362,0.754,0.389,0.167,0.269,0.767,576,1100
16363,0.752,0.419,0.167,0.279,0.763,331,751
16364,0.752,0.461,0.182,0.279,0.759,849,1858
16365,0.752,0.5,0.212,0.28,0.755,558,1798
16366,0.752,0.492,0.212,0.283,0.751,902,981
16367,0.752,0.483,0.258,0.286,0.746,348,1124
16368,0.752,0.472,0.303,0.292,0.742,441,1903
16369,0.751,0.447,0.288,0.286,0.738,829,1913
16370,0.75,0.456,0.258,0.279,0.734,234,1016
16371,0.749,0.475,0.258,0.271,0.73,765,1756
16372,0.737,0.581,0.242,0.152,0.616,151,952
16373,0.739,0.556,0.258,0.137,0.612,873,1418
16374,0.739,0.503,0.212,0.125,0.607,20,525
16375,0.739,0.503,0.167,0.116,0.603,952,1900
16376,0.739,0.464,0.167,0.107,0.599,746,1061
16377,0.738,0.428,0.212,0.096,0.595,25,1068
16378,0.737,0.406,0.273,0.089,0.591,945,1973
16379,0.735,0.394,0.288,0.077,0.586,603,1758
16380,0.734,0.383,0.333,0.068,0.582,786,1073
16381,0.731,0.386,0.379,0.064,0.578,813,2000
16382,0.729,0.386,0.394,0.061,0.574,400,1513
16383,0.726,0.383,0.348,0.048,0.569,882,1649
16384,0.724,0.386,0.258,0.043,0.565,546,1239
16385,0.723,0.389,0.167,0.03,0.561,524,782
16386,0.722,0.325,0.121,0.021,0.557,153,326
16387,0.721,0.225,0.091,0.021,0.553,461,712
16388,0.721,0.975,0.091,0.0,0.548,123,165
16389,0.721,0.947,0.152,0.0,0.544,108,789
16390,0.722,0.928,0.197,0.0,0.54,672,1616
16391,0.723,0.964,0.197,0.021,0.536,752,1967
16392,0.723,0.931,0.197,0.03,0.532,203,918
16393,0.724,0.878,0.227,0.048,0.527,152,1348
16394,0.726,0.9,0.227,0.061,0.523,289,985
16395,0.727,0.917,0.242,0.077,0.519,958,1542
16396,0.728,0.886,0.227,0.091,0.515,423,1807
16397,0.729,0.861,0.182,0.107,0.51,734,1771
16398,0.73,0.844,0.152,0.122,0.506,470,745
16399,0.732,0.85,0.091,0.137,0.502,156,745
16400,0.732,0.05,0.03,0.155,0.498,173,1540
16401,0.732,0.233,0.106,0.173,0.494,329,1528
16402,0.73,0.261,0.152,0.192,0.489,452,1010
16403,0.729,0.278,0.182,0.211,0.485,149,458
16404,0.727,0.297,0.182,0.215,0.481,53,1526
16405,0.726,0.375,0.106,0.213,0.477,361,1071
16406,0.725,0.331,0.197,0.198,0.473,986,1345
16407,0.723,0.322,0.303,0.183,0.468,47,191
16408,0.72,0.333,0.348,0.168,0.464,895,1666
16409,0.717,0.342,0.364,0.152,0.46,677,1899
16410,0.714,0.403,0.288,0.137,0.456,21,524
16411,0.713,0.419,0.333,0.122,0.452,356,1073
16412,0.712,0.403,0.394,0.107,0.447,311,575
16413,0.709,0.411,0.424,0.091,0.443,592,1699
16414,0.707,0.422,0.455,0.077,0.439,305,840
16415,0.705,0.403,0.515,0.068,0.435,527,1406
16416,0.701,0.397,0.545,0.064,0.431,489,958
16417,0.698,0.431,0.561,0.064,0.426,47,445
16418,0.695,0.45,0.621,0.064,0.422,22,746
16419,0.691,0.464,0.697,0.064,0.418,947,1571
16420,0.688,0.481,0.788,0.064,0.414,322,1926
16421,0.685,0.494,0.833,0.064,0.409,918,1953
16422,0.685,0.486,0.864,0.064,0.405,775,1409
16423,0.684,0.483,0.879,0.064,0.401,767,1680
16424,0.684,0.497,0.848,0.068,0.397,147,1693
16425,0.684,0.503,0.788,0.068,0.393,395,1245
16426,0.684,0.492,0.697,0.064,0.388,47,866
16427,0.685,0.469,0.545,0.061,0.384,860,1079
16428,0.685,0.381,0.348,0.043,0.38,227,1369
16429,0.683,0.228,0.227,0.021,0.376,642,868
16430,0.682,0.017,0.197,0.0,0.372,406,1822
16431,0.683,0.856,0.348,0.0,0.367,276,1549
16432,0.687,0.806,0.515,0.021,0.363,754,1732
16433,0.693,0.797,0.561,0.043,0.359,294,1031
16434,0.699,0.8,0.515,0.064,0.355,751,1508
16435,0.703,0.808,0.379,0.086,0.351,854,1745
16436,0.706,0.85,0.182,0.107,0.346,457,1631
16437,0.707,0.9,0.152,0.125,0.342,629,1539
16438,0.707,0.997,0.182,0.144,0.338,196,1403
16439,0.706,0.094,0.227,0.152,0.334,529,805
16440,0.705,0.094,0.212,0.156,0.329,77,1722
16441,0.704,0.036,0.167,0.163,0.325,884,1112
16442,0.705,0.989,0.167,0.172,0.321,786,1481
16443,0.705,0.042,0.197,0.163,0.317,608,1869
16444,0.703,0.094,0.258,0.152,0.313,904,1477
16445,0.702,0.086,0.227,0.137,0.308,75,166
16446,0.702,0.103,0.167,0.125,0.304,283,1440
16447,0.7,0.125,0.182,0.116,0.3,992,1151
16448,0.7,0.058,0.152,0.107,0.296,656,809
16449,0.699,0.086,0.152,0.096,0.292,232,303
16450,0.698,0.131,0.136,0.089,0.287,153,462
16451,0.698,0.136,0.136,0.086,0.283,91,164
16452,0.696,0.183,0.152,0.077,0.279,12,470
16453,0.695,0.239,0.167,0.061,0.275,804,825
16454,0.693,0.275,0.212,0.048,0.271,647,1093
16455,0.691,0.269,0.227,0.03,0.266,785,1336
16456,0.689,0.206,0.106,0.021,0.262,833,1924
16457,0.689,0.928,0.121,0.0,0.258,217,1008
16458,0.689,0.911,0.182,0.0,0.254,534,1559
16459,0.691,0.947,0.182,0.021,0.25,74,458
16460,0.691,0.014,0.227,0.043,0.245,427,581
16461,0.691,0.008,0.303,0.061,0.241,69,1740
16462,0.691,0.011,0.348,0.077,0.237,326,1528
16463,0.69,0.019,0.364,0.096,0.233,814,1499
16464,0.69,0.036,0.379,0.107,0.229,477,1064
16465,0.688,0.064,0.394,0.096,0.224,16,1879
16466,0.687,0.078,0.409,0.089,0.22,117,945
16467,0.685,0.069,0.394,0.086,0.216,375,1132
16468,0.683,0.042,0.394,0.086,0.212,217,1758
16469,0.682,0.031,0.394,0.086,0.208,685,1630
16470,0.682,0.033,0.424,0.086,0.203,868,1870
16471,0.681,0.025,0.439,0.086,0.199,975,1211
16472,0.68,0.978,0.439,0.086,0.195,580,1739
16473,0.682,0.95,0.409,0.089,0.191,111,1938
16474,0.683,0.942,0.348,0.096,0.187,865,1775
16475,0.685,0.936,0.303,0.107,0.183,760,1263
16476,0.686,0.994,0.303,0.11,0.178,632,1219
16477,0.685,0.053,0.333,0.107,0.174,703,1749
16478,0.684,0.042,0.333,0.107,0.17,240,1667
16479,0.683,0.014,0.333,0.096,0.166,815,1176
16480,0.683,0.025,0.364,0.089,0.162,388,418
16481,0.682,0.028,0.364,0.086,0.157,814,947
16482,0.682,0.006,0.333,0.077,0.153,369,1737
16483,0.682,0.05,0.318,0.068,0.149,519,871
16484,0.68,0.131,0.364,0.064,0.145,945,1517
16485,0.677,0.172,0.379,0.061,0.141,414,1729
16486,0.673,0.206,0.364,0.043,0.137,938,1809
16487,0.67,0.217,0.273,0.021,0.132,109,1592
16488,0.668,0.875,0.015,0.0,0.128,646,928
16489,0.67,0.703,0.303,0.021,0.124,620,924
16490,0.674,0.667,0.348,0.043,0.12,958,1025
16491,0.676,0.625,0.258,0.064,0.116,868,1077
16492,0.677,0.586,0.167,0.086,0.112,336,1892
16493,0.678,0.522,0.106,0.107,0.107,410,548
16494,0.678,0.608,0.045,0.15,0.099,605,878
16495,0.677,0.353,0.076,0.144,0.095,833,1326
16496,0.677,0.286,0.136,0.136,0.091,772,862
16497,0.675,0.156,0.076,0.13,0.087,22,894
16498,0.675,0.978,0.106,0.125,0.083,769,1639
16499,0.676,0.081,0.152,0.107,0.079,603,1248
16500,0.674,0.097,0.152,0.091,0.075,511,1346
16501,0.674,0.028,0.106,0.077,0.071,37,1904
16502,0.674,0.961,0.106,0.061,0.067,566,772
16503,0.675,0.033,0.136,0.048,0.063,44,1862
16504,0.673,0.089,0.136,0.03,0.059,964,1453
16505,0.674,0.125,0.076,0.021,0.055,718,1190
16506,0.673,0.181,0.121,0.021,0.051,607,797
16507,0.672,0.133,0.091,0.03,0.047,490,1411
16508,0.672,0.125,0.015,0.048,0.043,183,944
16509,0.671,0.361,0.061,0.068,0.04,494,946
16510,0.67,0.344,0.076,0.089,0.036,457,1682
16511,0.67,0.331,0.091,0.11,0.033,377,1855
16512,0.669,0.375,0.091,0.13,0.03,510,904
16513,0.656,0.183,0.091,0.0,0.055,289,576
16514,0.654,0.181,0.152,0.0,0.057,892,1702
16515,0.653,0.164,0.167,0.0,0.06,692,1151
16516,0.652,0.103,0.106,0.0,0.063,53,168
16517,0.653,0.081,0.091,0.0,0.066,3,256
16518,0.651,0.131,0.136,0.0,0.069,325,811
16519,0.651,0.042,0.106,0.0,0.072,869,1319
16520,0.651,0.019,0.121,0.021,0.075,752,1937
16521,0.65,0.069,0.136,0.021,0.078,640,705
16522,0.65,0.103,0.106,0.03,0.082,543,1519
16523,0.65,0.078,0.061,0.043,0.085,965,1572
16524,0.65,0.031,0.015,0.043,0.089,704,1178
16525,0.65,0.183,0.045,0.03,0.093,813,1377
16526,0.649,0.186,0.121,0.021,0.096,860,1183
16527,0.647,0.178,0.121,0.021,0.1,136,1860
16528,0.647,0.153,0.061,0.021,0.104,739,777
16529,0.646,0.125,0.03,0.0,0.107,212,1668
16530,0.763,0.233,0.212,0.258,0.797,363,1715
16531,0.76,0.225,0.288,0.258,0.793,831,1383
16532,0.757,0.228,0.242,0.258,0.789,623,1171
16533,0.755,0.264,0.152,0.258,0.784,22,1096
16534,0.754,0.397,0.106,0.258,0.78,194,424
16535,0.754,0.453,0.152,0.258,0.776,838,1437
16536,0.753,0.431,0.197,0.258,0.772,866,1022
16537,0.752,0.419,0.182,0.258,0.768,94,743
16538,0.752,0.411,0.152,0.258,0.763,824,1358
16539,0.751,0.417,0.136,0.258,0.759,904,1681
16540,0.75,0.486,0.136,0.258,0.755,513,1531
16541,0.751,0.458,0.167,0.261,0.751,444,1945
16542,0.749,0.456,0.182,0.266,0.747,651,1943
16543,0.749,0.458,0.167,0.271,0.742,384,1939
16544,0.748,0.433,0.152,0.259,0.734,636,1043
16545,0.747,0.428,0.167,0.251,0.73,579,1254
16546,0.747,0.5,0.182,0.245,0.725,915,1710
16547,0.747,0.511,0.227,0.24,0.721,648,1126
16548,0.747,0.519,0.258,0.231,0.717,66,403
16549,0.748,0.561,0.288,0.221,0.713,848,1331
16550,0.738,0.256,0.273,0.163,0.624,93,899
16551,0.735,0.314,0.182,0.152,0.62,914,1158
16552,0.735,0.544,0.167,0.137,0.616,356,1364
16553,0.736,0.544,0.227,0.122,0.612,952,1944
16554,0.736,0.525,0.242,0.107,0.608,943,1201
16555,0.737,0.528,0.212,0.096,0.603,248,1411
16556,0.737,0.456,0.227,0.089,0.599,694,785
16557,0.736,0.422,0.273,0.077,0.595,100,1491
16558,0.735,0.406,0.333,0.068,0.591,920,1733
16559,0.733,0.411,0.364,0.061,0.586,398,1685
