id,t,u,v,w,x,y,z,time_in,time_out
6713,0.726,0.503,0.303,0.228,0.113,0.874,0.976,59,394
6714,0.75,0.061,0.061,0.198,0.124,0.854,0.906,307,1332
6715,0.709,0.167,0.121,0.375,0.08,0.894,0.878,464,1136
6716,0.705,0.167,0.121,0.349,0.077,0.89,0.882,990,1401
6717,0.615,0.367,0.182,0.021,0.075,0.941,0.921,231,703
6718,0.624,0.864,0.273,0.107,0.043,0.669,0.886,112,926
6719,0.664,0.142,0.227,0.129,0.064,0.89,0.815,981,1779
6720,0.844,0.864,0.076,0.327,0.173,0.807,0.929,77,384
6721,0.792,0.083,0.167,0.215,0.32,0.85,0.846,57,945
6722,0.869,0.261,0.121,0.215,0.156,0.913,0.902,196,696
6723,0.778,0.075,0.212,0.183,0.244,0.839,0.819,767,1932
6724,0.711,0.142,0.091,0.0,0.08,0.878,0.894,925,1060
6725,0.723,0.522,0.333,0.198,0.115,0.85,0.984,361,1391
6726,0.727,0.656,0.242,0.269,0.128,0.752,0.992,348,672
6727,0.748,0.078,0.227,0.279,0.126,0.839,0.815,315,1042
6728,0.71,0.225,0.152,0.349,0.084,0.917,0.878,825,838
6729,0.616,0.983,0.242,0.043,0.064,0.752,0.827,947,1299
6730,0.833,0.856,0.455,0.125,0.543,0.5,0.811,564,1154
6731,0.795,0.025,0.121,0.43,0.324,0.831,0.882,86,391
6732,0.712,0.05,0.136,0.021,0.084,0.839,0.866,4,276
6733,0.715,0.631,0.303,0.122,0.112,0.74,1.0,909,1688
6734,0.719,0.539,0.348,0.168,0.117,0.827,0.988,706,1840
6735,0.72,0.514,0.364,0.183,0.119,0.854,0.98,601,1574
6736,0.721,0.592,0.212,0.221,0.126,0.815,0.992,236,1285
6737,0.731,0.742,0.318,0.275,0.136,0.642,0.957,883,1696
6738,0.746,0.739,0.242,0.245,0.141,0.697,0.965,7,1344
6739,0.709,0.306,0.167,0.334,0.089,0.941,0.898,512,1007
6740,0.84,0.117,0.273,0.137,0.22,0.866,0.78,50,1530
6741,0.869,0.294,0.136,0.172,0.164,0.925,0.902,418,1064
6742,0.717,0.317,0.091,0.021,0.101,0.906,0.921,794,1244
6743,0.714,0.578,0.303,0.122,0.117,0.795,1.0,422,596
6744,0.724,0.747,0.227,0.221,0.134,0.713,0.961,816,876
6745,0.741,0.739,0.288,0.283,0.145,0.665,0.965,273,519
6746,0.745,0.672,0.242,0.24,0.145,0.74,0.988,854,1874
6747,0.7,0.433,0.152,0.317,0.079,0.913,0.953,647,1842
6748,0.695,0.219,0.121,0.211,0.068,0.909,0.886,446,1925
6749,0.642,0.061,0.348,0.15,0.101,0.783,0.728,195,670
6750,0.625,0.15,0.379,0.144,0.087,0.886,0.705,518,679
6751,0.623,0.022,0.333,0.125,0.082,0.74,0.744,15,1759
6752,0.62,0.044,0.242,0.089,0.075,0.803,0.803,101,664
6753,0.62,0.033,0.258,0.048,0.072,0.791,0.803,40,1187
6754,0.671,0.033,0.121,0.183,0.057,0.835,0.882,195,1496
6755,0.888,0.797,0.333,0.03,0.462,0.606,0.917,472,1130
6756,0.777,0.225,0.5,0.0,0.071,0.957,0.646,616,1164
6757,0.835,0.944,0.303,0.183,0.191,0.689,0.815,496,1354
6758,0.713,0.564,0.273,0.152,0.126,0.819,0.996,114,231
6759,0.724,0.792,0.258,0.203,0.138,0.673,0.937,687,1677
6760,0.738,0.722,0.288,0.259,0.147,0.673,0.972,964,1555
6761,0.742,0.647,0.258,0.258,0.151,0.748,0.996,1,1293
6762,0.744,0.611,0.258,0.237,0.149,0.78,1.0,755,1616
6763,0.626,0.033,0.333,0.144,0.085,0.756,0.744,766,997
6764,0.844,0.822,0.212,0.144,0.54,0.709,0.925,593,948
6765,0.766,0.525,0.182,0.531,0.157,0.866,0.98,438,501
6766,0.802,0.106,0.167,0.558,0.323,0.866,0.85,839,1636
6767,0.702,0.211,0.106,0.0,0.099,0.902,0.894,307,953
6768,0.712,0.619,0.227,0.13,0.13,0.787,0.996,900,1852
6769,0.725,0.789,0.273,0.185,0.141,0.661,0.933,514,734
6770,0.728,0.789,0.273,0.198,0.143,0.665,0.937,570,1962
6771,0.702,0.303,0.136,0.292,0.098,0.929,0.906,395,1791
6772,0.847,0.186,0.136,0.0,0.606,0.902,0.874,124,1690
6773,0.875,0.858,0.455,0.043,0.484,0.496,0.807,597,959
6774,0.781,0.875,0.121,0.245,0.251,0.78,0.917,160,425
6775,0.706,0.567,0.273,0.077,0.128,0.819,0.996,595,1018
6776,0.707,0.583,0.242,0.091,0.131,0.811,0.996,440,1249
6777,0.715,0.7,0.273,0.125,0.138,0.697,0.98,748,1069
6778,0.731,0.639,0.242,0.203,0.151,0.768,0.996,582,623
6779,0.728,0.108,0.106,0.204,0.149,0.87,0.886,22,643
6780,0.697,0.344,0.167,0.298,0.096,0.937,0.913,70,1775
6781,0.626,0.806,0.273,0.043,0.051,0.657,0.925,999,1030
6782,0.854,0.083,0.288,0.172,0.243,0.831,0.772,133,1560
6783,0.794,0.794,0.273,0.183,0.353,0.665,0.933,194,940
6784,0.795,0.153,0.152,0.24,0.261,0.89,0.866,262,494
6785,0.778,0.139,0.167,0.259,0.274,0.886,0.846,717,1050
6786,0.703,0.592,0.273,0.048,0.129,0.791,1.0,115,337
6787,0.706,0.6,0.242,0.077,0.134,0.795,1.0,172,1126
6788,0.709,0.631,0.273,0.089,0.138,0.752,1.0,869,1653
6789,0.714,0.65,0.333,0.107,0.141,0.701,0.996,413,527
6790,0.716,0.656,0.348,0.116,0.143,0.685,0.996,233,1338
6791,0.722,0.644,0.348,0.137,0.147,0.693,0.996,137,482
6792,0.724,0.633,0.333,0.152,0.149,0.717,1.0,777,1468
6793,0.726,0.619,0.318,0.163,0.151,0.736,1.0,903,1292
6794,0.708,0.189,0.182,0.224,0.11,0.913,0.85,496,1075
6795,0.707,0.161,0.182,0.231,0.109,0.898,0.843,368,1297
6796,0.702,0.178,0.212,0.251,0.106,0.913,0.827,919,1305
6797,0.688,0.447,0.258,0.258,0.078,0.925,0.953,332,1950
6798,0.685,0.408,0.288,0.185,0.066,0.953,0.921,844,1335
6799,0.624,0.228,0.348,0.068,0.087,0.961,0.756,382,442
6800,0.617,0.681,0.061,0.0,0.095,0.835,0.957,938,954
6801,0.633,0.789,0.364,0.086,0.104,0.583,0.913,833,1239
6802,0.638,0.981,0.303,0.203,0.098,0.717,0.795,461,922
6803,0.627,0.797,0.288,0.03,0.052,0.642,0.925,781,1659
6804,0.651,0.858,0.303,0.215,0.018,0.642,0.878,506,1148
6805,0.747,0.656,0.288,0.357,0.11,0.72,0.996,450,1604
6806,0.791,0.008,0.227,0.304,0.27,0.78,0.823,402,1520
6807,0.768,0.253,0.212,0.136,0.278,0.949,0.858,453,1513
6808,0.716,0.608,0.439,0.107,0.149,0.689,0.992,181,717
6809,0.719,0.608,0.424,0.122,0.151,0.693,0.992,606,884
6810,0.726,0.55,0.379,0.163,0.158,0.803,0.992,827,898
6811,0.729,0.564,0.379,0.183,0.162,0.783,0.996,945,1637
6812,0.736,0.353,0.242,0.096,0.161,0.965,0.898,100,152
6813,0.728,0.089,0.045,0.172,0.136,0.862,0.913,66,1513
6814,0.639,0.064,0.394,0.183,0.098,0.764,0.681,547,1399
6815,0.637,0.033,0.348,0.144,0.094,0.748,0.732,637,1533
6816,0.63,0.792,0.303,0.043,0.049,0.63,0.925,768,1655
6817,0.836,0.781,0.288,0.048,0.558,0.646,0.937,985,1367
6818,0.884,0.856,0.53,0.107,0.491,0.409,0.764,828,1790
6819,0.893,0.881,0.47,0.11,0.483,0.496,0.78,849,910
6820,0.918,0.875,0.47,0.183,0.452,0.488,0.78,563,1433
6821,0.845,0.108,0.182,0.289,0.207,0.866,0.839,146,1915
6822,0.788,0.233,0.318,0.086,0.283,0.965,0.783,480,1100
6823,0.723,0.125,0.106,0.0,0.131,0.874,0.886,64,780
6824,0.72,0.575,0.439,0.125,0.158,0.736,0.988,529,998
6825,0.724,0.558,0.394,0.155,0.164,0.787,0.992,740,1710
6826,0.719,0.4,0.182,0.172,0.124,0.933,0.937,777,1986
6827,0.648,0.153,0.333,0.279,0.115,0.894,0.732,884,1695
6828,0.631,0.811,0.303,0.043,0.051,0.626,0.913,897,1026
6829,0.83,0.036,0.303,0.021,0.575,0.776,0.772,191,1987
6830,0.8,0.178,0.318,0.107,0.089,0.921,0.76,760,1428
6831,0.724,0.172,0.091,0.0,0.137,0.886,0.898,812,1027
6832,0.702,0.561,0.303,0.03,0.15,0.815,0.996,744,1938
6833,0.704,0.569,0.394,0.048,0.153,0.772,0.996,255,1246
6834,0.706,0.581,0.439,0.061,0.155,0.732,0.992,863,1822
6835,0.723,0.564,0.379,0.155,0.172,0.78,0.992,954,1792
6836,0.631,0.025,0.227,0.0,0.06,0.795,0.823,140,1971
6837,0.646,0.886,0.455,0.129,0.039,0.508,0.776,258,1666
6838,0.865,0.428,0.136,0.136,0.571,0.909,0.949,861,933
6839,0.841,0.792,0.348,0.03,0.558,0.587,0.917,194,1925
6840,0.75,0.511,0.227,0.396,0.138,0.878,0.98,218,1647
6841,0.797,0.033,0.182,0.334,0.279,0.819,0.85,613,904
6842,0.712,0.003,0.242,0.077,0.122,0.764,0.815,9,387
6843,0.717,0.572,0.409,0.116,0.172,0.76,0.992,24,788
6844,0.716,0.456,0.167,0.129,0.132,0.906,0.957,716,919
6845,0.636,0.122,0.424,0.043,0.07,0.839,0.654,733,761
6846,0.647,0.886,0.515,0.107,0.045,0.445,0.732,222,1675
6847,0.864,0.458,0.167,0.163,0.565,0.906,0.961,923,1050
6848,0.83,0.936,0.152,0.086,0.63,0.783,0.894,185,1759
6849,0.836,0.956,0.258,0.021,0.571,0.72,0.831,958,1515
6850,0.723,0.608,0.379,0.219,0.088,0.72,1.0,987,1453
6851,0.784,0.836,0.152,0.286,0.251,0.76,0.929,466,923
6852,0.715,0.575,0.394,0.107,0.177,0.76,0.996,739,1108
6853,0.725,0.458,0.197,0.086,0.155,0.909,0.961,256,1685
6854,0.651,0.881,0.515,0.107,0.048,0.449,0.748,262,474
6855,0.862,0.431,0.167,0.156,0.564,0.917,0.949,791,1087
6856,0.846,0.061,0.364,0.144,0.6,0.776,0.717,899,1433
6857,0.839,0.994,0.303,0.03,0.573,0.732,0.791,643,1289
6858,0.894,0.086,0.242,0.441,0.308,0.843,0.799,938,1056
6859,0.796,0.794,0.152,0.258,0.36,0.76,0.945,926,1454
6860,0.805,0.031,0.152,0.423,0.28,0.823,0.866,659,1733
6861,0.804,0.117,0.091,0.279,0.272,0.87,0.89,308,1033
6862,0.697,0.356,0.045,0.0,0.162,0.882,0.933,921,1526
6863,0.725,0.486,0.167,0.043,0.166,0.89,0.969,851,1603
6864,0.724,0.458,0.212,0.061,0.16,0.913,0.961,389,1825
6865,0.708,0.236,0.121,0.136,0.128,0.913,0.89,716,1681
6866,0.842,0.022,0.364,0.061,0.579,0.724,0.72,217,1280
6867,0.895,0.758,0.424,0.215,0.499,0.531,0.921,581,1536
6868,0.808,0.964,0.076,0.548,0.292,0.827,0.909,769,1566
6869,0.805,0.064,0.076,0.317,0.27,0.854,0.898,298,1729
6870,0.704,0.592,0.439,0.048,0.181,0.717,0.992,394,648
6871,0.708,0.578,0.409,0.077,0.185,0.748,0.992,611,1298
6872,0.734,0.181,0.273,0.173,0.183,0.921,0.791,363,1531
6873,0.72,0.45,0.227,0.048,0.158,0.917,0.957,560,1509
6874,0.71,0.481,0.212,0.064,0.142,0.898,0.969,536,760
6875,0.661,0.853,0.485,0.13,0.051,0.457,0.795,8,396
6876,0.86,0.458,0.167,0.163,0.55,0.906,0.961,68,617
6877,0.847,0.819,0.182,0.283,0.63,0.736,0.933,326,635
6878,0.851,0.958,0.288,0.203,0.611,0.701,0.811,588,1716
6879,0.869,0.753,0.303,0.152,0.532,0.646,0.953,586,1153
6880,0.773,0.825,0.167,0.51,0.217,0.748,0.933,115,569
6881,0.766,0.328,0.197,0.068,0.308,0.949,0.898,733,1389
6882,0.697,0.142,0.152,0.288,0.105,0.886,0.858,324,813
6883,0.675,0.936,0.348,0.219,0.047,0.646,0.795,791,1382
6884,0.885,0.617,0.258,0.043,0.536,0.772,1.0,139,1176
6885,0.86,0.419,0.121,0.155,0.544,0.909,0.945,319,509
6886,0.85,0.881,0.242,0.288,0.628,0.689,0.882,437,449
6887,0.687,0.65,0.455,0.061,0.066,0.614,0.984,385,1935
6888,0.83,0.117,0.106,0.231,0.274,0.87,0.886,776,1228
6889,0.77,0.233,0.258,0.327,0.289,0.953,0.827,267,854
6890,0.722,0.981,0.182,0.03,0.14,0.783,0.858,746,1917
6891,0.699,0.1,0.242,0.043,0.175,0.854,0.799,709,1193
6892,0.701,0.572,0.394,0.048,0.192,0.76,0.996,756,1575
6893,0.707,0.472,0.197,0.061,0.143,0.902,0.965,274,1949
6894,0.7,0.194,0.091,0.221,0.117,0.89,0.902,446,1922
6895,0.668,0.922,0.364,0.219,0.121,0.614,0.795,150,300
6896,0.677,0.867,0.333,0.204,0.053,0.61,0.858,262,1685
6897,0.679,0.936,0.242,0.224,0.051,0.724,0.854,178,1175
6898,0.84,0.844,0.303,0.173,0.619,0.638,0.89,444,646
6899,0.851,0.894,0.333,0.298,0.63,0.622,0.835,210,1252
6900,0.854,0.797,0.318,0.043,0.555,0.614,0.917,795,1530
6901,0.699,0.592,0.485,0.096,0.085,0.685,0.984,551,1924
6902,0.714,0.397,0.273,0.043,0.198,0.957,0.921,856,1979
6903,0.714,0.364,0.136,0.0,0.168,0.925,0.925,804,1018
6904,0.707,0.208,0.106,0.0,0.156,0.902,0.89,701,1587
6905,0.706,0.25,0.03,0.0,0.155,0.878,0.925,938,1520
6906,0.662,0.994,0.227,0.366,0.126,0.768,0.827,563,626
6907,0.832,0.8,0.258,0.107,0.606,0.665,0.929,328,1175
6908,0.726,0.089,0.212,0.236,0.153,0.85,0.819,140,718
6909,0.712,0.111,0.303,0.144,0.168,0.854,0.752,866,1225
6910,0.696,0.558,0.364,0.048,0.202,0.795,0.996,935,981
6911,0.7,0.286,0.076,0.221,0.12,0.902,0.917,528,1570
6912,0.691,0.35,0.227,0.319,0.101,0.961,0.902,213,1387
6913,0.846,0.325,0.121,0.021,0.555,0.925,0.913,339,1570
6914,0.838,0.333,0.136,0.021,0.568,0.929,0.917,198,1905
6915,0.853,0.886,0.379,0.288,0.623,0.579,0.819,435,1938
6916,0.768,0.256,0.273,0.15,0.047,0.965,0.823,252,470
6917,0.74,0.097,0.182,0.0,0.187,0.862,0.843,649,1242
6918,0.728,0.175,0.167,0.021,0.156,0.906,0.858,513,1808
6919,0.725,0.114,0.227,0.198,0.161,0.87,0.815,407,1256
6920,0.703,0.294,0.106,0.021,0.16,0.913,0.913,66,99
6921,0.702,0.45,0.152,0.0,0.155,0.906,0.957,300,410
6922,0.7,0.494,0.167,0.061,0.146,0.886,0.972,293,325
6923,0.7,0.361,0.121,0.211,0.123,0.917,0.929,523,1182
6924,0.87,0.292,0.348,0.107,0.521,0.992,0.807,790,1994
6925,0.853,0.139,0.106,0.0,0.542,0.882,0.882,951,1412
6926,0.847,0.264,0.152,0.0,0.55,0.933,0.886,277,1282
6927,0.842,0.228,0.182,0.0,0.558,0.933,0.862,431,1115
6928,0.74,0.672,0.333,0.286,0.207,0.677,0.992,923,1618
6929,0.699,0.422,0.121,0.183,0.128,0.906,0.945,787,1101
6930,0.692,0.35,0.242,0.258,0.113,0.965,0.894,169,1084
6931,0.688,0.342,0.242,0.289,0.107,0.969,0.89,402,1346
6932,0.657,0.539,0.061,0.0,0.013,0.862,0.957,670,957
6933,0.833,0.861,0.167,0.064,0.591,0.752,0.917,995,1528
6934,0.836,0.856,0.318,0.107,0.595,0.63,0.878,569,1458
6935,0.755,0.272,0.318,0.107,0.032,0.98,0.807,739,991
6936,0.692,0.125,0.091,0.021,0.207,0.874,0.894,691,897
6937,0.699,0.381,0.167,0.0,0.161,0.933,0.929,33,856
6938,0.698,0.433,0.152,0.0,0.158,0.913,0.949,423,1260
6939,0.677,0.306,0.212,0.365,0.091,0.957,0.882,952,1891
6940,0.671,0.003,0.212,0.168,0.056,0.783,0.839,968,1217
6941,0.665,0.078,0.242,0.048,0.053,0.835,0.807,567,1063
6942,0.662,0.067,0.197,0.03,0.043,0.839,0.831,762,1765
6943,0.657,0.95,0.015,0.021,0.015,0.854,0.933,824,1340
6944,0.672,0.992,0.227,0.369,0.108,0.772,0.835,519,574
6945,0.673,0.003,0.212,0.279,0.11,0.783,0.839,483,1485
6946,0.673,0.931,0.167,0.258,0.11,0.768,0.886,64,371
6947,0.864,0.061,0.227,0.061,0.518,0.827,0.819,652,1617
6948,0.86,0.072,0.106,0.021,0.523,0.854,0.886,325,838
6949,0.902,0.211,0.394,0.557,0.297,0.949,0.713,947,952
6950,0.779,0.733,0.136,0.515,0.229,0.783,0.961,657,1543
6951,0.808,0.711,0.03,0.28,0.24,0.843,0.945,569,1741
6952,0.695,0.203,0.167,0.0,0.205,0.917,0.858,713,1078
6953,0.668,0.042,0.227,0.096,0.055,0.811,0.823,886,944
6954,0.659,0.106,0.227,0.043,0.028,0.858,0.807,929,1347
6955,0.657,0.092,0.076,0.03,0.018,0.862,0.902,3,1223
6956,0.883,0.208,0.47,0.077,0.505,0.945,0.657,142,1969
6957,0.871,0.131,0.303,0.107,0.51,0.874,0.76,992,1617
6958,0.861,0.044,0.182,0.0,0.518,0.823,0.843,202,1343
6959,0.808,0.961,0.106,0.231,0.288,0.815,0.902,153,913
6960,0.695,0.042,0.212,0.03,0.213,0.815,0.827,105,1336
6961,0.694,0.044,0.212,0.048,0.215,0.819,0.831,739,943
6962,0.743,0.617,0.197,0.319,0.219,0.803,0.992,81,1168
6963,0.688,0.375,0.258,0.215,0.121,0.961,0.909,749,883
6964,0.678,0.297,0.242,0.327,0.099,0.969,0.862,437,898
6965,0.675,0.028,0.242,0.183,0.063,0.787,0.807,788,1825
6966,0.67,0.031,0.273,0.096,0.06,0.78,0.787,711,1742
6967,0.661,0.097,0.273,0.064,0.03,0.846,0.78,47,592
6968,0.863,0.028,0.258,0.0,0.515,0.787,0.803,220,743
6969,0.798,0.067,0.136,0.061,0.317,0.846,0.866,99,441
6970,0.805,0.892,0.136,0.228,0.335,0.772,0.909,852,1526
6971,0.834,0.042,0.182,0.405,0.315,0.823,0.846,209,1406
6972,0.817,0.425,0.258,0.163,0.335,0.937,0.941,553,1133
6973,0.7,0.25,0.167,0.0,0.205,0.933,0.874,512,598
6974,0.699,0.111,0.121,0.0,0.207,0.87,0.874,795,1299
6975,0.685,0.383,0.212,0.221,0.119,0.949,0.921,43,1387
6976,0.673,0.136,0.076,0.381,0.092,0.874,0.902,886,1503
6977,0.673,0.006,0.091,0.365,0.089,0.835,0.902,529,704
6978,0.664,0.092,0.303,0.086,0.033,0.835,0.752,841,934
6979,0.68,0.083,0.136,0.325,0.097,0.858,0.866,97,1820
6980,0.877,0.1,0.303,0.116,0.5,0.846,0.76,914,1760
6981,0.876,0.075,0.288,0.096,0.501,0.823,0.772,94,839
6982,0.869,0.108,0.227,0.03,0.506,0.862,0.811,717,1432
6983,0.953,0.122,0.273,0.748,0.374,0.87,0.78,18,1768
6984,0.902,0.272,0.424,0.554,0.299,0.992,0.736,478,842
6985,0.785,0.356,0.333,0.03,0.089,0.984,0.866,268,763
6986,0.7,0.008,0.288,0.048,0.215,0.752,0.791,878,1436
6987,0.712,0.594,0.424,0.15,0.229,0.72,0.996,652,1743
6988,0.694,0.533,0.197,0.021,0.165,0.862,0.984,825,828
6989,0.694,0.531,0.227,0.03,0.161,0.858,0.984,791,1586
6990,0.679,0.342,0.197,0.271,0.111,0.949,0.906,398,1134
6991,0.678,0.328,0.197,0.292,0.108,0.953,0.898,322,1309
6992,0.674,0.15,0.091,0.354,0.098,0.882,0.894,29,73
6993,0.674,0.969,0.121,0.376,0.092,0.807,0.89,874,1716
6994,0.679,0.05,0.227,0.198,0.07,0.815,0.811,323,1726
6995,0.67,0.072,0.333,0.107,0.042,0.799,0.732,17,99
6996,0.68,0.047,0.212,0.409,0.092,0.819,0.827,188,1682
6997,0.88,0.1,0.288,0.11,0.496,0.846,0.768,400,1664
6998,0.868,0.008,0.303,0.048,0.508,0.744,0.78,653,1200
6999,0.889,0.147,0.485,0.183,0.588,0.862,0.61,664,707
7000,0.839,0.369,0.242,0.313,0.184,0.961,0.906,871,1503
7001,0.69,0.058,0.333,0.089,0.101,0.783,0.732,857,1798
7002,0.798,0.314,0.242,0.021,0.212,0.969,0.87,877,1610
7003,0.84,0.014,0.167,0.275,0.335,0.807,0.858,29,132
7004,0.711,0.417,0.379,0.03,0.195,0.957,0.906,59,1162
7005,0.705,0.408,0.273,0.021,0.2,0.949,0.925,377,1234
7006,0.703,0.35,0.061,0.0,0.206,0.894,0.933,471,998
7007,0.688,0.428,0.212,0.091,0.145,0.929,0.945,976,1772
7008,0.68,0.044,0.242,0.203,0.073,0.803,0.807,895,1274
7009,0.679,0.047,0.273,0.192,0.072,0.799,0.787,114,1768
7010,0.676,0.039,0.318,0.144,0.059,0.772,0.756,523,924
7011,0.672,0.069,0.348,0.129,0.045,0.791,0.724,270,323
7012,0.888,0.217,0.303,0.144,0.489,0.949,0.787,119,1177
7013,0.81,0.986,0.091,0.384,0.265,0.831,0.906,671,1851
7014,0.764,0.15,0.197,0.356,0.29,0.894,0.831,867,1465
7015,0.703,0.956,0.121,0.021,0.209,0.807,0.898,16,309
7016,0.705,0.961,0.303,0.048,0.218,0.701,0.807,171,1929
7017,0.685,0.392,0.197,0.116,0.14,0.937,0.929,304,392
7018,0.679,0.192,0.152,0.261,0.117,0.909,0.87,591,1090
7019,0.679,0.958,0.197,0.349,0.091,0.76,0.858,644,1671
7020,0.662,0.167,0.288,0.048,0.035,0.909,0.776,393,430
7021,0.872,0.106,0.167,0.0,0.493,0.866,0.846,610,1298
7022,0.871,0.003,0.182,0.021,0.495,0.795,0.85,267,1684
7023,0.937,0.233,0.364,0.734,0.346,0.965,0.756,214,1865
7024,0.835,0.281,0.242,0.203,0.348,0.965,0.85,999,1195
7025,0.775,0.142,0.152,0.048,0.363,0.886,0.858,793,1996
7026,0.765,0.153,0.197,0.336,0.293,0.898,0.835,861,951
7027,0.705,0.175,0.091,0.0,0.206,0.89,0.894,175,1988
7028,0.704,0.019,0.121,0.021,0.209,0.831,0.886,178,979
7029,0.704,0.961,0.152,0.021,0.211,0.791,0.886,917,1409
7030,0.706,0.939,0.212,0.043,0.215,0.74,0.862,402,1662
7031,0.707,0.95,0.273,0.061,0.219,0.705,0.827,591,1360
7032,0.689,0.417,0.152,0.0,0.17,0.917,0.945,110,1368
7033,0.688,0.433,0.212,0.0,0.167,0.925,0.949,127,259
7034,0.684,0.403,0.167,0.089,0.146,0.929,0.937,815,829
7035,0.68,0.058,0.348,0.172,0.054,0.78,0.728,840,891
7036,0.659,0.181,0.227,0.021,0.038,0.917,0.823,203,1794
7037,0.893,0.172,0.455,0.122,0.48,0.906,0.65,263,482
7038,0.886,0.189,0.197,0.177,0.568,0.917,0.843,6,958
7039,0.776,0.142,0.364,0.043,0.075,0.882,0.717,616,1302
7040,0.806,0.831,0.121,0.116,0.285,0.776,0.933,905,906
7041,0.813,0.125,0.03,0.369,0.259,0.862,0.925,921,1321
7042,0.717,0.367,0.197,0.021,0.194,0.949,0.917,899,1250
7043,0.706,0.919,0.212,0.048,0.217,0.732,0.874,481,540
7044,0.708,0.931,0.258,0.068,0.221,0.701,0.843,847,1358
7045,0.712,0.994,0.273,0.107,0.229,0.744,0.803,773,1733
7046,0.7,0.611,0.485,0.107,0.245,0.657,0.984,685,759
7047,0.722,0.497,0.379,0.299,0.236,0.87,0.965,543,1243
7048,0.685,0.414,0.242,0.0,0.166,0.941,0.933,811,1707
7049,0.684,0.489,0.136,0.043,0.156,0.886,0.965,144,1518
7050,0.684,0.439,0.121,0.064,0.152,0.902,0.953,195,1774
7051,0.682,0.978,0.03,0.15,0.138,0.85,0.929,174,1310
7052,0.682,0.036,0.061,0.193,0.132,0.846,0.909,823,1116
7053,0.681,0.089,0.136,0.236,0.125,0.858,0.87,332,1227
7054,0.682,0.928,0.152,0.38,0.098,0.776,0.894,794,1557
7055,0.686,0.011,0.227,0.224,0.08,0.783,0.827,407,1163
7056,0.686,0.025,0.212,0.215,0.073,0.799,0.831,386,497
7057,0.89,0.133,0.348,0.077,0.477,0.874,0.72,180,1320
7058,0.888,0.144,0.348,0.068,0.478,0.886,0.724,541,950
7059,0.9,0.256,0.242,0.289,0.602,0.957,0.843,64,1344
7060,0.732,0.842,0.53,0.215,0.169,0.409,0.78,730,1774
7061,0.763,0.894,0.258,0.408,0.2,0.689,0.87,140,289
7062,0.805,0.856,0.167,0.096,0.194,0.748,0.917,246,1820
7063,0.818,0.336,0.182,0.048,0.359,0.949,0.906,689,1798
7064,0.767,0.014,0.152,0.168,0.263,0.815,0.866,123,153
7065,0.707,0.939,0.197,0.061,0.219,0.752,0.87,346,467
7066,0.683,0.403,0.227,0.021,0.168,0.941,0.933,678,1755
7067,0.682,0.475,0.152,0.0,0.165,0.894,0.965,39,766
7068,0.683,0.95,0.076,0.172,0.138,0.823,0.913,194,726
7069,0.688,0.025,0.152,0.251,0.085,0.823,0.87,641,1824
7070,0.649,0.136,0.076,0.021,0.034,0.874,0.898,222,239
7071,0.886,0.164,0.379,0.043,0.475,0.902,0.701,343,1874
7072,0.883,0.167,0.379,0.03,0.477,0.906,0.709,785,853
7073,0.779,0.181,0.182,0.048,0.375,0.909,0.85,53,188
7074,0.709,0.072,0.182,0.064,0.218,0.843,0.839,635,959
7075,0.708,0.975,0.152,0.068,0.221,0.795,0.878,663,1004
7076,0.716,0.953,0.242,0.136,0.234,0.732,0.843,205,1689
7077,0.711,0.283,0.212,0.301,0.217,0.957,0.87,148,1775
7078,0.682,0.419,0.197,0.021,0.171,0.933,0.941,61,1499
7079,0.681,0.531,0.136,0.0,0.167,0.866,0.972,269,358
7080,0.683,0.556,0.091,0.043,0.16,0.858,0.965,274,1910
7081,0.684,0.089,0.136,0.258,0.128,0.858,0.866,73,1407
7082,0.687,0.992,0.061,0.308,0.094,0.839,0.913,583,1245
7083,0.654,0.156,0.212,0.021,0.053,0.898,0.823,110,1978
7084,0.651,0.228,0.106,0.021,0.045,0.906,0.898,161,1925
7085,0.877,0.931,0.061,0.116,0.484,0.831,0.921,794,1818
7086,0.797,0.3,0.212,0.021,0.372,0.957,0.878,104,617
7087,0.712,0.886,0.212,0.107,0.228,0.717,0.89,634,903
7088,0.715,0.875,0.227,0.125,0.232,0.697,0.89,806,1097
7089,0.716,0.889,0.227,0.136,0.234,0.705,0.882,7,1788
7090,0.709,0.283,0.212,0.299,0.22,0.957,0.87,430,563
7091,0.699,0.364,0.242,0.251,0.217,0.961,0.906,205,743
7092,0.687,0.967,0.106,0.325,0.104,0.815,0.902,312,1066
7093,0.687,0.031,0.015,0.336,0.099,0.854,0.929,630,1598
7094,0.687,0.125,0.015,0.251,0.069,0.862,0.929,816,1041
7095,0.879,0.081,0.212,0.03,0.473,0.843,0.819,419,1757
7096,0.71,0.294,0.182,0.232,0.121,0.949,0.886,794,1494
7097,0.697,0.278,0.242,0.086,0.134,0.965,0.85,803,1754
7098,0.724,0.261,0.212,0.021,0.211,0.949,0.858,175,487
7099,0.712,0.092,0.182,0.107,0.226,0.858,0.843,385,421
7100,0.716,0.881,0.242,0.144,0.236,0.693,0.882,246,509
7101,0.717,0.886,0.242,0.155,0.238,0.693,0.882,167,415
7102,0.689,0.047,0.242,0.048,0.266,0.807,0.807,644,1908
7103,0.716,0.475,0.258,0.283,0.233,0.906,0.965,515,865
