id,t,u,time_in,time_out
7298,0.738,0.844,500,1815
7299,0.663,0.472,952,1057
7300,0.656,0.686,486,1595
7301,0.673,0.547,721,1697
7302,0.827,0.381,355,1705
7303,0.723,0.206,288,1731
7304,0.83,0.728,679,769
7305,0.825,0.897,333,1160
7306,0.883,0.856,133,506
7307,0.895,0.881,678,1305
7308,0.886,0.206,137,483
7309,0.849,0.172,779,1486
7310,0.849,0.192,265,1361
7311,0.701,0.386,726,761
7312,0.695,0.244,174,1357
7313,0.694,0.111,814,1988
7314,0.693,0.211,500,1558
7315,0.673,0.406,82,811
7316,0.66,0.914,194,1873
7317,0.662,0.383,947,1916
7318,0.657,0.5,875,1770
7319,0.657,0.219,919,1922
7320,0.655,0.058,344,473
7321,0.659,0.261,504,567
7322,0.875,0.775,360,1342
7323,0.878,0.781,787,1907
7324,0.898,0.864,275,535
7325,0.889,0.139,381,885
7326,0.85,0.186,927,1177
7327,0.849,0.214,844,867
7328,0.847,0.231,241,479
7329,0.812,0.231,704,1759
7330,0.697,0.156,387,1421
7331,0.661,0.464,563,1879
7332,0.657,0.042,177,1158
7333,0.654,0.392,159,1023
7334,0.655,0.597,917,1496
7335,0.669,0.531,523,1411
7336,0.668,0.506,668,1699
7337,0.905,0.256,487,999
7338,0.716,0.206,583,1300
7339,0.834,0.483,47,704
7340,0.877,0.736,325,391
7341,0.881,0.853,608,1764
7342,0.855,0.175,19,1961
7343,0.82,0.0,799,1761
7344,0.747,0.011,652,1769
7345,0.743,0.864,687,1856
7346,0.701,0.211,569,770
7347,0.7,0.192,526,674
7348,0.651,0.5,999,1384
7349,0.668,0.55,265,369
7350,0.668,0.464,799,1162
7351,0.659,0.458,949,1250
7352,0.666,0.711,234,1015
7353,0.782,0.228,754,1399
7354,0.758,0.172,429,622
7355,0.878,0.797,845,1741
7356,0.878,0.811,730,1820
7357,0.879,0.814,244,1435
7358,0.889,0.861,401,1660
7359,0.879,0.142,686,1474
7360,0.853,0.211,972,1931
7361,0.742,0.886,636,923
7362,0.745,0.936,761,1682
7363,0.7,0.056,473,594
7364,0.657,0.086,308,537
7365,0.883,0.158,451,740
7366,0.873,0.817,843,1895
7367,0.894,0.869,9,1386
7368,0.886,0.156,896,1759
7369,0.882,0.161,724,1542
7370,0.877,0.133,370,878
7371,0.873,0.097,172,766
7372,0.856,0.161,867,1736
7373,0.841,0.278,713,983
7374,0.829,0.989,808,1747
7375,0.744,0.892,530,793
7376,0.747,0.928,72,889
7377,0.706,0.133,146,1500
7378,0.663,0.975,594,1458
7379,0.654,0.547,300,1305
7380,0.665,0.372,869,1350
7381,0.686,0.186,771,1014
7382,0.831,0.186,453,1747
7383,0.881,0.125,681,1698
7384,0.873,0.189,757,1963
7385,0.856,0.161,443,1492
7386,0.841,0.233,738,1218
7387,0.839,0.233,973,1008
7388,0.747,0.881,553,1124
7389,0.707,0.125,786,1073
7390,0.692,0.922,939,1106
7391,0.667,0.025,950,1715
7392,0.657,0.456,736,938
7393,0.634,0.0,366,622
7394,0.885,0.886,240,1196
7395,0.882,0.119,476,1208
7396,0.877,0.161,702,1480
7397,0.832,0.056,623,1308
7398,0.707,0.047,900,1004
7399,0.706,0.017,380,1481
7400,0.659,0.647,617,1905
7401,0.64,0.392,106,1490
7402,0.878,0.175,15,882
7403,0.839,0.203,495,1972
7404,0.751,0.931,590,878
7405,0.712,0.122,250,603
7406,0.709,0.011,793,1153
7407,0.709,0.0,851,1861
7408,0.654,0.131,413,870
7409,0.637,0.886,660,970
7410,0.812,0.208,634,912
7411,0.821,0.814,584,1639
7412,0.828,0.819,544,1156
7413,0.878,0.886,554,1356
7414,0.885,0.861,385,1357
7415,0.887,0.911,377,891
7416,0.891,0.858,302,1516
7417,0.884,0.15,149,855
7418,0.874,0.233,55,697
7419,0.853,0.189,115,407
7420,0.843,0.186,268,651
7421,0.716,0.128,277,1522
7422,0.711,0.033,540,1373
7423,0.658,0.106,52,350
7424,0.653,0.506,88,831
7425,0.656,0.55,989,1202
7426,0.656,0.528,911,1462
7427,0.636,0.894,437,1164
7428,0.875,0.881,130,411
7429,0.887,0.864,775,1242
7430,0.856,0.189,527,1906
7431,0.85,0.158,991,1746
7432,0.831,0.186,962,1760
7433,0.777,0.097,558,1555
7434,0.717,0.128,969,999
7435,0.677,0.031,606,1898
7436,0.663,0.094,194,1860
7437,0.657,0.1,359,1258
7438,0.653,0.561,970,1806
7439,0.654,0.631,309,635
7440,0.654,0.531,583,988
7441,0.911,0.203,557,1835
7442,0.786,0.272,272,1399
7443,0.719,0.211,675,775
7444,0.802,0.542,423,1105
7445,0.861,0.142,387,1248
7446,0.844,0.094,840,952
7447,0.834,0.936,316,1884
7448,0.741,0.261,729,1707
7449,0.716,0.047,481,1438
7450,0.68,0.986,395,1283
7451,0.665,0.086,135,755
7452,0.658,0.128,675,1393
7453,0.655,0.136,605,1504
7454,0.65,0.597,180,1263
7455,0.653,0.528,303,543
7456,0.802,0.311,440,1683
7457,0.728,0.181,234,1261
7458,0.712,0.125,523,610
7459,0.875,0.853,505,1647
7460,0.89,0.886,350,969
7461,0.719,0.072,685,754
7462,0.699,0.719,328,435
7463,0.699,0.625,293,974
7464,0.678,0.194,724,1109
7465,0.657,0.156,905,1164
7466,0.647,0.289,802,1108
7467,0.647,0.336,923,1091
7468,0.639,0.861,560,1772
7469,0.778,0.256,222,1010
7470,0.733,0.214,615,838
7471,0.717,0.108,690,1883
7472,0.799,0.625,268,687
7473,0.806,0.606,538,1300
7474,0.829,0.525,482,1191
7475,0.882,0.872,568,1733
7476,0.885,0.883,269,1602
7477,0.875,0.156,557,1011
7478,0.698,0.411,618,1212
7479,0.681,0.147,666,1169
7480,0.668,0.117,885,1253
7481,0.659,0.161,647,1930
7482,0.65,0.511,468,917
7483,0.649,0.578,57,1969
7484,0.65,0.95,249,1828
7485,0.871,0.222,23,1582
7486,0.869,0.219,3,1446
7487,0.735,0.239,270,1113
7488,0.719,0.122,813,1616
7489,0.718,0.147,323,1461
7490,0.808,0.656,337,831
7491,0.818,0.819,341,635
7492,0.893,0.906,868,1065
7493,0.888,0.167,667,1162
7494,0.692,0.219,673,1933
7495,0.698,0.0,415,946
7496,0.658,0.128,121,1539
7497,0.636,0.267,947,1600
7498,0.651,0.944,594,1052
7499,0.652,0.95,821,1087
7500,0.654,0.897,233,1213
7501,0.916,0.119,628,1338
7502,0.872,0.203,118,211
7503,0.851,0.25,611,1451
7504,0.846,0.197,661,1944
7505,0.727,0.203,411,1323
7506,0.723,0.192,378,1463
7507,0.811,0.406,66,629
7508,0.882,0.217,197,467
7509,0.853,0.1,147,427
7510,0.849,0.103,787,1540
7511,0.847,0.122,770,853
7512,0.841,0.986,39,461
7513,0.706,0.953,86,155
7514,0.691,0.164,576,1031
7515,0.684,0.575,496,694
7516,0.647,0.856,603,971
7517,0.654,0.942,80,355
7518,0.85,0.219,53,1735
7519,0.841,0.231,340,1171
7520,0.826,0.208,772,1643
7521,0.733,0.181,180,314
7522,0.721,0.272,614,1838
7523,0.718,0.3,692,1774
7524,0.802,0.411,606,1689
7525,0.791,0.008,800,1199
7526,0.791,0.003,4,252
7527,0.7,0.294,596,1556
7528,0.698,0.192,864,1192
7529,0.691,0.214,895,1245
7530,0.673,0.103,445,1181
7531,0.668,0.147,631,1335
7532,0.655,0.933,419,1903
7533,0.89,0.208,803,1762
7534,0.885,0.231,18,229
7535,0.882,0.308,867,1453
7536,0.879,0.278,879,1412
7537,0.74,0.056,799,1277
7538,0.736,0.081,132,993
7539,0.734,0.158,465,1444
7540,0.731,0.175,668,1713
7541,0.882,0.822,720,1639
7542,0.852,0.108,569,1336
7543,0.702,0.092,697,1690
7544,0.69,0.428,259,449
7545,0.694,0.239,896,940
7546,0.683,0.278,200,1063
7547,0.668,0.128,225,1966
7548,0.663,0.094,811,1916
7549,0.659,0.133,306,366
7550,0.647,0.169,0,66
7551,0.644,0.344,221,593
7552,0.658,0.944,528,1522
7553,0.866,0.278,495,1525
7554,0.735,0.164,153,1851
7555,0.865,0.139,214,1495
7556,0.858,0.106,128,833
7557,0.818,0.094,992,1637
7558,0.764,0.194,106,564
7559,0.701,0.153,909,1918
7560,0.695,0.094,451,1882
7561,0.693,0.175,54,669
7562,0.692,0.2,375,676
7563,0.646,0.161,968,1885
7564,0.643,0.347,484,1718
7565,0.641,0.525,9,1316
7566,0.656,0.869,528,587
7567,0.664,0.969,563,1506
7568,0.853,0.283,776,1076
7569,0.72,0.264,266,422
7570,0.853,0.1,939,1917
7571,0.799,0.006,813,1573
7572,0.704,0.1,749,1642
7573,0.702,0.089,969,1828
7574,0.696,0.083,710,887
7575,0.695,0.108,173,238
7576,0.695,0.136,432,1868
7577,0.688,0.236,821,1011
7578,0.694,0.569,453,1717
7579,0.679,0.564,30,408
7580,0.642,0.619,968,1986
7581,0.639,0.392,759,1805
7582,0.64,0.878,530,1797
7583,0.663,0.939,693,1275
7584,0.822,0.211,337,1470
7585,0.746,0.956,197,904
7586,0.748,0.064,995,1678
7587,0.803,0.289,340,1591
7588,0.798,0.842,797,1796
7589,0.88,0.789,626,770
7590,0.715,0.069,660,868
7591,0.703,0.061,414,1499
7592,0.7,0.075,921,925
7593,0.697,0.067,737,1028
7594,0.691,0.117,104,1283
7595,0.679,0.406,430,1976
7596,0.64,0.339,606,1141
7597,0.643,0.856,340,750
7598,0.667,0.942,134,516
7599,0.668,0.956,443,803
7600,0.899,0.194,266,1622
7601,0.884,0.303,671,1203
7602,0.876,0.283,713,1796
7603,0.831,0.275,774,1300
7604,0.775,0.181,62,1217
7605,0.747,0.886,534,1078
7606,0.747,0.914,735,1828
7607,0.746,0.222,103,926
7608,0.877,0.139,265,862
7609,0.868,0.117,84,359
7610,0.859,0.108,894,1757
7611,0.717,0.033,773,1483
7612,0.707,0.094,356,1710
7613,0.707,0.075,60,124
7614,0.698,0.075,850,919
7615,0.692,0.125,814,1689
7616,0.689,0.194,38,816
7617,0.678,0.644,19,1008
7618,0.645,0.206,810,991
7619,0.643,0.206,806,1595
7620,0.642,0.2,248,847
7621,0.645,0.858,933,942
7622,0.658,0.875,207,1964
7623,0.67,0.95,504,1881
7624,0.882,0.325,123,1320
7625,0.87,0.314,204,835
7626,0.736,0.283,288,675
7627,0.729,0.281,27,1344
7628,0.803,0.556,244,903
7629,0.884,0.831,471,1760
7630,0.89,0.131,747,1673
7631,0.866,0.117,885,1903
7632,0.865,0.089,915,1579
7633,0.796,0.008,525,1082
7634,0.707,0.031,62,644
7635,0.705,0.064,75,328
7636,0.698,0.075,2,1411
7637,0.688,0.181,698,951
7638,0.674,0.286,104,1067
7639,0.672,0.575,663,1887
7640,0.663,0.325,184,1084
7641,0.655,0.381,184,1144
7642,0.642,0.967,494,955
7643,0.899,0.5,161,475
7644,0.888,0.256,871,1501
7645,0.839,0.256,865,891
7646,0.828,0.261,31,846
7647,0.735,0.272,403,1923
7648,0.728,0.297,855,1167
7649,0.818,0.306,216,220
7650,0.884,0.853,830,1043
7651,0.874,0.075,483,1446
7652,0.861,0.103,278,1986
7653,0.858,0.061,26,309
7654,0.854,0.978,460,1051
7655,0.722,0.017,183,1230
7656,0.711,0.025,589,1765
7657,0.709,0.017,996,1903
7658,0.706,0.05,645,1314
7659,0.703,0.075,203,1261
7660,0.696,0.097,994,1373
7661,0.686,0.578,563,590
7662,0.674,0.303,399,893
7663,0.661,0.336,652,1436
7664,0.67,0.292,164,1034
7665,0.897,0.439,627,1519
7666,0.893,0.225,707,1509
7667,0.884,0.3,875,1214
7668,0.877,0.358,629,1201
7669,0.772,0.164,455,1706
7670,0.748,0.261,503,1481
7671,0.731,0.286,928,1719
7672,0.8,0.606,452,1255
7673,0.797,0.392,763,1887
7674,0.871,0.939,382,1287
7675,0.86,0.069,969,1696
7676,0.772,0.1,195,1538
7677,0.711,0.825,710,1709
7678,0.71,0.036,45,1875
7679,0.708,0.044,541,967
7680,0.698,0.053,664,808
7681,0.687,0.583,823,1970
7682,0.65,0.908,851,1491
7683,0.656,0.856,262,1947
7684,0.65,0.239,262,589
7685,0.647,0.939,526,923
7686,0.743,0.264,414,1827
7687,0.89,0.106,512,1476
7688,0.859,0.044,780,1226
7689,0.712,0.967,371,1881
7690,0.708,0.081,213,600
7691,0.695,0.194,199,1539
7692,0.686,0.433,815,1832
7693,0.678,0.233,546,1415
7694,0.654,0.903,880,1497
7695,0.658,0.275,937,1494
7696,0.654,0.883,944,1396
7697,0.659,0.864,744,1738
7698,0.885,0.233,924,1313
7699,0.8,0.172,264,481
7700,0.754,0.897,28,1679
7701,0.752,0.261,129,1491
7702,0.729,0.25,137,1006
7703,0.833,0.75,681,1226
7704,0.874,0.939,227,1490
7705,0.875,0.914,171,1662
7706,0.892,0.106,5,1748
7707,0.879,0.097,983,1703
7708,0.877,0.114,293,414
7709,0.834,0.067,925,1011
7710,0.825,0.006,616,956
7711,0.817,0.064,62,1373
7712,0.713,0.958,233,1155
7713,0.706,0.064,355,1152
7714,0.699,0.103,37,684
7715,0.699,0.15,682,1597
7716,0.673,0.272,126,1639
7717,0.664,0.5,176,1801
7718,0.646,0.95,63,191
7719,0.647,0.914,864,984
7720,0.661,0.861,63,1942
7721,0.67,0.878,681,1600
7722,0.754,0.208,733,1675
7723,0.738,0.239,224,942
7724,0.725,0.242,111,216
7725,0.825,0.739,873,1578
7726,0.872,0.914,406,1753
7727,0.874,0.95,670,1409
7728,0.88,0.85,635,1569
7729,0.893,0.147,890,1653
7730,0.874,0.069,802,1519
7731,0.824,0.039,742,1619
7732,0.764,0.156,405,697
7733,0.706,0.094,267,578
7734,0.703,0.161,586,1184
7735,0.684,0.264,180,1619
7736,0.677,0.589,940,1264
7737,0.669,0.258,148,383
7738,0.654,0.919,559,943
7739,0.647,0.039,308,1039
7740,0.859,0.353,906,925
7741,0.756,0.05,472,1594
7742,0.752,0.256,598,910
7743,0.734,0.231,742,1785
7744,0.872,0.975,187,497
7745,0.881,0.836,0,620
7746,0.827,0.081,11,1043
7747,0.741,0.058,620,1430
7748,0.714,0.011,225,1184
7749,0.699,0.333,331,1836
7750,0.679,0.181,332,570
7751,0.656,0.942,820,1094
7752,0.885,0.214,447,842
7753,0.871,0.314,765,1992
7754,0.835,0.269,56,126
7755,0.747,0.25,160,939
7756,0.872,0.944,199,1216
7757,0.882,0.858,116,1754
7758,0.881,0.522,816,839
7759,0.881,0.611,299,337
7760,0.896,0.533,10,1570
7761,0.891,0.092,831,1829
7762,0.821,0.061,847,1571
7763,0.812,0.036,200,1824
7764,0.717,0.008,438,1223
7765,0.718,0.0,465,1695
7766,0.683,0.197,649,1815
7767,0.678,0.536,180,1125
7768,0.661,0.314,602,1443
7769,0.662,0.008,352,1625
7770,0.663,0.914,210,1931
7771,0.884,0.292,982,1548
7772,0.875,0.961,80,1684
7773,0.883,0.825,269,1885
7774,0.886,0.503,690,1179
7775,0.879,0.478,708,1849
7776,0.895,0.486,408,1308
7777,0.874,0.044,142,1924
7778,0.869,0.083,143,383
7779,0.866,0.039,728,1540
7780,0.828,0.056,718,996
7781,0.751,0.231,725,1111
7782,0.719,0.989,229,995
7783,0.719,0.028,209,1210
7784,0.718,0.014,213,271
7785,0.714,0.869,204,590
7786,0.708,0.175,646,1359
7787,0.676,0.492,579,1887
7788,0.661,0.969,898,1110
7789,0.657,0.942,338,1479
7790,0.753,0.225,580,1643
7791,0.749,0.222,30,1785
7792,0.879,0.978,885,1638
7793,0.882,0.0,425,674
7794,0.884,0.506,151,1149
7795,0.883,0.467,535,1516
7796,0.883,0.442,327,998
7797,0.881,0.419,997,1111
7798,0.88,0.575,728,1093
7799,0.894,0.469,106,435
7800,0.893,0.489,440,1165
7801,0.877,0.05,49,1558
7802,0.825,0.05,772,1115
7803,0.819,0.092,867,1757
7804,0.677,0.203,29,1871
7805,0.659,0.786,624,1591
7806,0.661,0.167,843,1014
7807,0.845,0.336,887,1220
7808,0.843,0.331,973,1411
7809,0.769,0.178,653,703
7810,0.745,0.219,110,431
7811,0.79,0.564,750,1936
7812,0.806,0.522,145,1181
7813,0.874,0.964,334,1352
7814,0.876,0.944,570,836
7815,0.882,0.975,244,574
7816,0.884,0.906,937,1316
7817,0.884,0.478,604,1861
7818,0.881,0.486,578,1524
7819,0.881,0.436,156,1124
7820,0.88,0.572,839,1485
7821,0.897,0.664,300,1079
7822,0.892,0.475,407,1118
7823,0.892,0.492,425,1181
7824,0.891,0.492,222,637
7825,0.888,0.281,588,1777
7826,0.887,0.25,917,1302
7827,0.884,0.189,516,1860
7828,0.878,0.067,718,1546
7829,0.85,0.017,542,1251
7830,0.668,0.392,952,1721
7831,0.661,0.889,531,883
7832,0.662,0.883,140,895
7833,0.676,0.381,460,674
7834,0.867,0.319,878,1376
7835,0.746,0.269,797,1135
7836,0.881,0.978,925,1593
7837,0.89,0.478,851,1056
7838,0.881,0.036,227,1679
7839,0.856,0.406,834,979
7840,0.783,0.05,73,819
7841,0.689,0.125,762,1751
7842,0.684,0.147,973,1614
7843,0.678,0.128,904,1816
7844,0.674,0.444,611,1713
7845,0.66,0.025,225,1108
7846,0.662,0.144,168,776
7847,0.665,0.808,14,1935
7848,0.82,0.869,344,1161
7849,0.878,0.925,732,1924
7850,0.885,0.05,958,1724
7851,0.878,0.472,750,1499
7852,0.889,0.625,255,1197
7853,0.888,0.339,998,1840
7854,0.884,0.042,490,730
7855,0.883,0.075,298,576
7856,0.878,0.108,833,1528
7857,0.874,0.058,88,1806
7858,0.82,0.286,859,1952
7859,0.674,0.158,878,1606
7860,0.672,0.45,598,689
7861,0.667,0.353,213,1428
7862,0.662,0.919,915,1110
7863,0.661,0.969,756,1063
7864,0.66,0.181,623,1804
7865,0.789,0.436,497,905
7866,0.885,0.086,751,1350
7867,0.874,0.517,27,1482
7868,0.878,0.575,523,1777
7869,0.886,0.478,6,67
7870,0.884,0.986,652,1902
7871,0.843,0.303,355,472
7872,0.723,0.094,580,1744
7873,0.69,0.214,822,838
7874,0.683,0.219,764,1735
7875,0.677,0.217,42,1338
7876,0.665,0.089,946,1117
7877,0.673,0.497,917,1027
7878,0.856,0.228,578,1363
7879,0.845,0.35,815,1231
7880,0.71,0.983,326,841
7881,0.834,0.922,366,1019
7882,0.881,0.944,348,1119
7883,0.888,0.017,656,1671
7884,0.886,0.089,747,1740
7885,0.876,0.503,843,1544
7886,0.873,0.458,151,1168
7887,0.872,0.536,973,1253
7888,0.874,0.561,718,1335
7889,0.875,0.556,357,1881
7890,0.886,0.567,57,888
7891,0.881,0.092,644,885
7892,0.806,0.181,539,1793
7893,0.718,0.131,171,728
7894,0.688,0.317,390,1309
7895,0.674,0.286,655,1636
7896,0.665,0.167,725,1078
7897,0.664,0.944,799,1558
7898,0.664,0.0,917,1816
7899,0.666,0.994,861,1146
7900,0.837,0.361,334,570
7901,0.839,0.292,574,1212
7902,0.884,0.961,834,1558
7903,0.887,0.978,325,1013
7904,0.889,0.0,800,1655
7905,0.87,0.344,314,1182
7906,0.875,0.572,204,343
7907,0.875,0.564,314,599
7908,0.883,0.489,274,557
7909,0.723,0.156,731,1483
7910,0.674,0.3,270,480
7911,0.666,0.147,908,1375
7912,0.662,0.036,308,1808
7913,0.665,0.214,767,1643
7914,0.664,0.228,62,941
7915,0.665,0.775,775,995
7916,0.671,0.442,659,1778
7917,0.67,0.469,95,1586
7918,0.854,0.267,724,1022
7919,0.792,0.858,938,1198
7920,0.882,0.9,531,776
7921,0.887,0.939,968,1482
7922,0.89,0.011,422,1729
7923,0.872,0.283,414,1186
7924,0.867,0.375,918,1252
7925,0.874,0.539,500,1982
7926,0.882,0.481,748,1115
7927,0.859,0.336,17,657
7928,0.666,0.067,609,1939
7929,0.665,0.111,568,1648
7930,0.664,0.131,855,1832
7931,0.665,0.892,167,184
7932,0.667,0.939,734,1647
7933,0.665,0.214,14,1711
7934,0.662,0.325,834,1933
7935,0.667,0.647,495,1679
7936,0.669,0.45,166,951
7937,0.79,0.286,950,1231
7938,0.891,0.0,781,1082
7939,0.676,0.261,237,391
7940,0.666,0.975,776,1178
7941,0.666,0.894,214,1533
7942,0.665,0.228,388,849
7943,0.665,0.233,446,1477
7944,0.664,0.211,661,1325
7945,0.79,0.875,281,1547
7946,0.799,0.825,962,1117
7947,0.803,0.811,717,740
7948,0.888,0.986,606,1730
7949,0.891,0.908,650,1909
7950,0.892,0.914,927,1747
7951,0.893,0.019,463,1168
7952,0.892,0.067,937,1014
7953,0.867,0.558,634,1084
7954,0.873,0.464,729,927
7955,0.885,0.669,653,1856
7956,0.879,0.5,367,487
7957,0.815,0.453,589,1264
7958,0.79,0.267,581,824
7959,0.732,0.989,129,1043
7960,0.678,0.283,614,803
7961,0.676,0.125,501,1579
7962,0.669,0.089,884,1999
7963,0.668,0.056,68,657
7964,0.666,0.106,896,1240
7965,0.665,0.906,865,1261
7966,0.666,0.936,964,1574
7967,0.666,0.886,744,1579
7968,0.667,0.261,241,1428
7969,0.748,0.097,954,1542
7970,0.775,0.633,167,246
7971,0.795,0.7,853,1148
7972,0.799,0.831,223,1219
7973,0.836,0.875,547,794
7974,0.894,0.0,290,900
7975,0.869,0.594,755,1684
7976,0.87,0.625,363,1627
7977,0.872,0.431,377,1667
7978,0.878,0.483,547,1060
7979,0.882,0.5,829,1289
7980,0.882,0.5,419,527
7981,0.882,0.392,951,1786
7982,0.676,0.117,98,1955
7983,0.667,0.289,231,1791
7984,0.665,0.275,455,1032
7985,0.663,0.414,583,1987
7986,0.659,0.419,518,1059
7987,0.84,0.125,831,1513
7988,0.707,0.808,559,1520
7989,0.895,0.0,649,892
7990,0.884,0.144,707,1916
7991,0.851,0.397,801,1750
7992,0.868,0.594,356,1508
7993,0.877,0.469,773,1833
7994,0.879,0.619,489,697
7995,0.881,0.489,414,419
7996,0.881,0.536,740,1462
7997,0.88,0.389,428,1028
7998,0.671,0.072,556,1293
7999,0.669,0.097,462,1028
8000,0.667,0.081,648,772
8001,0.667,0.967,453,1787
8002,0.654,0.331,943,1981
8003,0.883,0.811,137,1514
8004,0.896,0.0,187,1007
8005,0.847,0.556,25,757
8006,0.857,0.55,176,178
8007,0.871,0.389,434,1955
8008,0.877,0.425,1000,1684
8009,0.879,0.592,434,792
8010,0.879,0.486,111,1078
8011,0.879,0.483,403,1133
8012,0.735,0.125,694,749
8013,0.719,0.322,783,866
8014,0.699,0.264,554,760
8015,0.686,0.289,114,595
8016,0.677,0.819,124,340
8017,0.668,0.078,238,1666
8018,0.668,0.028,343,909
8019,0.668,0.008,804,1117
8020,0.663,0.414,653,1555
8021,0.843,0.197,929,1718
8022,0.734,0.181,315,695
8023,0.751,0.761,332,1892
8024,0.893,0.981,567,1884
8025,0.897,0.889,559,1063
8026,0.851,0.569,769,1039
8027,0.869,0.65,691,1580
8028,0.867,0.339,402,800
8029,0.86,0.347,229,1775
8030,0.845,0.472,438,587
8031,0.686,0.3,483,1734
8032,0.675,0.061,499,770
8033,0.67,0.072,165,1674
8034,0.669,0.031,272,889
8035,0.665,0.233,706,1612
8036,0.664,0.228,499,1457
8037,0.661,0.375,165,468
8038,0.816,0.194,980,1659
8039,0.734,0.208,487,1686
8040,0.854,0.269,602,1890
8041,0.855,0.558,799,1015
8042,0.866,0.636,406,958
8043,0.877,0.497,462,1924
8044,0.877,0.5,564,1410
8045,0.876,0.486,465,1325
8046,0.875,0.4,680,1283
8047,0.713,0.294,175,1174
8048,0.683,0.294,464,1177
8049,0.672,0.064,555,888
8050,0.667,0.175,811,1449
8051,0.666,0.233,578,1782
8052,0.818,0.503,57,1331
8053,0.779,0.117,287,1947
8054,0.732,0.256,847,1980
8055,0.732,0.789,467,1398
8056,0.767,0.539,507,1801
8057,0.844,0.989,165,1577
8058,0.84,0.347,757,1762
8059,0.847,0.606,595,1560
8060,0.854,0.578,525,551
8061,0.86,0.608,479,1625
8062,0.864,0.636,143,1137
8063,0.876,0.517,49,1894
8064,0.831,0.375,93,1271
8065,0.795,0.542,884,1668
8066,0.716,0.4,858,1831
8067,0.683,0.917,508,741
8068,0.683,0.964,741,1126
8069,0.669,0.136,210,1788
8070,0.661,0.306,858,1412
8071,0.816,0.522,557,760
8072,0.748,0.386,545,1969
8073,0.789,0.744,303,1108
8074,0.844,0.883,893,1496
8075,0.839,0.45,754,1904
8076,0.85,0.561,808,1483
8077,0.86,0.542,860,1524
8078,0.873,0.631,248,1093
8079,0.874,0.608,533,1251
8080,0.874,0.483,515,1824
8081,0.874,0.475,45,924
8082,0.874,0.492,604,1728
8083,0.79,0.0,697,786
8084,0.717,0.442,257,508
8085,0.669,0.125,943,1697
8086,0.66,0.35,698,1145
8087,0.739,0.256,637,1196
8088,0.745,0.594,340,1784
8089,0.789,0.65,500,1065
8090,0.878,0.797,173,904
8091,0.89,0.589,410,902
8092,0.848,0.614,464,1982
8093,0.857,0.589,738,1840
8094,0.857,0.592,480,939
8095,0.862,0.592,531,713
8096,0.874,0.5,765,1987
8097,0.871,0.517,333,1417
8098,0.787,0.486,791,991
8099,0.751,0.047,962,1547
8100,0.716,0.425,92,464
8101,0.709,0.422,971,1225
8102,0.708,0.372,206,1429
8103,0.694,0.247,734,1688
8104,0.685,0.106,130,1553
8105,0.677,0.075,336,1490
8106,0.664,0.211,189,1652
8107,0.744,0.461,627,1731
8108,0.844,0.256,160,561
8109,0.854,0.631,635,1081
8110,0.856,0.575,331,1047
8111,0.857,0.553,409,1631
8112,0.868,0.497,959,1988
8113,0.868,0.5,525,1218
8114,0.874,0.567,702,1789
8115,0.869,0.492,68,1963
8116,0.791,0.344,133,1625
8117,0.756,0.039,237,751
8118,0.735,0.181,404,1133
8119,0.699,0.256,712,1478
8120,0.686,0.956,64,1247
8121,0.68,0.044,252,804
8122,0.678,0.086,950,1400
8123,0.663,0.339,779,838
8124,0.839,0.289,709,1782
8125,0.858,0.539,366,1283
8126,0.867,0.511,883,1463
8127,0.835,0.331,376,1124
8128,0.785,0.525,402,1323
8129,0.757,0.05,57,250
8130,0.716,0.236,783,1226
8131,0.706,0.453,757,939
8132,0.702,0.364,145,1335
8133,0.697,0.247,544,829
8134,0.69,0.047,88,1739
8135,0.689,0.064,254,378
8136,0.676,0.075,518,1045
8137,0.661,0.433,271,1665
8138,0.734,0.306,593,1944
8139,0.807,0.714,34,1086
8140,0.847,0.597,264,1167
8141,0.868,0.25,674,1530
8142,0.851,0.269,847,1995
8143,0.848,0.264,887,1978
8144,0.871,0.417,13,1681
8145,0.833,0.339,777,1680
8146,0.819,0.478,769,1237
8147,0.715,0.219,21,1745
8148,0.689,0.961,841,979
8149,0.693,0.031,848,1594
8150,0.693,0.067,275,1733
8151,0.684,0.089,197,1813
8152,0.673,0.164,593,617
8153,0.838,0.172,24,1530
8154,0.813,0.433,238,1570
8155,0.73,0.314,90,528
8156,0.844,0.25,524,1815
8157,0.838,0.272,234,1175
8158,0.855,0.558,777,1203
8159,0.864,0.517,944,1833
8160,0.866,0.436,947,1195
8161,0.705,0.15,136,1893
8162,0.701,0.222,113,1845
8163,0.693,0.967,174,1890
8164,0.691,0.092,796,1171
8165,0.679,0.1,985,1254
8166,0.678,0.164,749,1217
8167,0.655,0.289,902,1125
8168,0.739,0.364,696,1054
8169,0.855,0.569,677,1819
8170,0.781,0.569,690,1349
8171,0.719,0.153,695,1059
8172,0.699,0.222,423,1874
8173,0.693,0.139,1,1184
8174,0.692,0.125,743,1395
8175,0.691,0.183,238,576
8176,0.662,0.225,545,1337
8177,0.823,0.172,559,1073
8178,0.734,0.333,4,264
8179,0.731,0.306,618,962
8180,0.745,0.9,1000,1053
8181,0.861,0.489,687,1689
8182,0.775,0.522,543,1696
8183,0.787,0.256,249,776
8184,0.713,0.144,524,1098
8185,0.702,0.2,948,1059
8186,0.696,0.058,121,1185
